Frec	Izquierda	Derecha
0	-44.867225647	-46.501426697
43.066	-36.391593933	-37.363037109
86.132	-29.775569916	-30.091152191
129.199	-29.224258423	-28.786346436
172.265	-32.824005127	-30.590606689
215.332	-30.759124756	-29.581619263
258.398	-29.172664642	-28.993461609
301.464	-29.517757416	-29.857116699
344.531	-34.672725677	-35.208034515
387.597	-37.6900177	-38.334384918
430.664	-23.608840942	-24.186790466
473.73	-20.221855164	-20.804950714
516.796	-25.242366791	-26.039482117
559.863	-25.83505249	-25.602432251
602.929	-25.102565765	-24.979633331
645.996	-33.099788666	-33.112773895
689.062	-40.729595184	-39.96352005
732.128	-35.238639832	-33.228363037
775.195	-37.438621521	-34.81974411
818.261	-36.738243103	-34.617721558
861.328	-33.836200714	-32.417194366
904.394	-36.4568367	-35.409080505
947.46	-40.685031891	-40.48746109
990.527	-45.151878357	-44.748130798
1033.593	-39.374034882	-40.69909668
1076.66	-30.576633453	-31.598812103
1119.726	-31.849601746	-32.64509201
1162.792	-37.255725861	-39.493099213
1205.859	-31.371265411	-33.189712524
1248.925	-34.974731445	-36.818164825
1291.992	-37.56678772	-39.858669281
1335.058	-36.78263855	-39.288311005
1378.125	-34.719711304	-37.772167206
1421.191	-32.314067841	-35.465293884
1464.257	-34.270225525	-37.527206421
1507.324	-30.45772171	-34.164527893
1550.39	-31.524002075	-35.181495666
1593.457	-34.947662353	-38.783473968
1636.523	-34.015953064	-37.973308563
1679.589	-35.309970856	-39.356723785
1722.656	-30.378681183	-34.89320755
1765.722	-29.72366333	-34.286235809
1808.789	-37.607048035	-42.212059021
1851.855	-35.26177597	-40.499027252
1894.921	-25.308040619	-30.289146423
1937.988	-22.061405182	-27.017425537
1981.054	-21.790542603	-26.759357452
2024.121	-20.542831421	-25.393310547
2067.187	-19.593322754	-24.380702972
2110.253	-21.524848938	-26.250522613
2153.32	-25.200271606	-29.829998016
2196.386	-27.563579559	-32.260097504
2239.453	-30.486045837	-35.218471527
2282.519	-33.367557526	-38.08731842
2325.585	-34.311748505	-38.818740845
2368.652	-33.847503662	-38.303752899
2411.718	-31.522426605	-35.829425812
2454.785	-28.787731171	-32.95728302
2497.851	-27.396484375	-31.440700531
2540.917	-27.36548996	-31.333473206
2583.984	-31.677562714	-35.676048279
2627.05	-47.601264954	-50.672412872
2670.117	-31.870189667	-35.513500214
2713.183	-30.87077713	-34.49527359
2756.25	-34.141410828	-37.738700867
2799.316	-40.796943665	-44.391441345
2842.382	-39.950183868	-43.13961792
2885.449	-33.626792908	-36.907798767
2928.515	-32.973060608	-36.199436188
2971.582	-31.968490601	-34.94739151
3014.648	-25.041793823	-28.122207642
3057.714	-27.344463348	-30.437885284
3100.781	-38.511680603	-41.592166901
3143.847	-48.953079224	-52.582107544
3186.914	-40.802528381	-43.711158752
3229.98	-34.460212707	-37.321735382
3273.046	-33.173862457	-36.015163422
3316.113	-35.323974609	-38.134925842
3359.179	-42.098510742	-44.824871063
3402.246	-41.822891235	-44.727657318
3445.312	-38.995685577	-41.870449066
3488.378	-37.075000763	-39.908729553
3531.445	-31.142345428	-33.998687744
3574.511	-30.721481323	-33.568416595
3617.578	-36.5377388	-39.384037018
3660.644	-45.407642364	-48.216255188
3703.71	-37.34992218	-40.021682739
3746.777	-34.292125702	-37.031768799
3789.843	-37.041931152	-39.83013916
3832.91	-36.250637054	-39.197914124
3875.976	-31.014820099	-33.90719986
3919.042	-31.604400635	-34.445785522
3962.109	-34.982116699	-37.801513672
4005.175	-36.558082581	-39.498500824
4048.242	-36.484973907	-39.515193939
4091.308	-29.909534454	-32.951522827
4134.375	-29.381034851	-32.434280395
4177.441	-33.118537903	-36.203010559
4220.507	-38.753437042	-41.886760712
4263.574	-36.478477478	-39.664096832
4306.64	-37.284435272	-40.490825653
4349.707	-40.613033295	-43.768100738
4392.773	-44.357379913	-47.352161407
4435.839	-44.526245117	-47.450061798
4478.906	-41.97820282	-45.007568359
4521.972	-45.288314819	-48.259269714
4565.039	-54.438209534	-58.117362976
4608.105	-44.50239563	-48.115978241
4651.171	-43.263053894	-46.748256683
4694.238	-44.517097473	-48.103359222
4737.304	-44.320858002	-47.954555511
4780.371	-47.851478577	-51.662555695
4823.437	-41.28200531	-45.097145081
4866.503	-41.267658234	-44.963356018
4909.57	-55.683456421	-58.961853027
4952.636	-46.479564667	-50.203239441
4995.703	-43.782684326	-47.472717285
5038.769	-44.697418213	-48.568897247
5081.835	-41.719863892	-45.744625092
5124.902	-41.128314972	-45.20552063
5167.968	-43.105247498	-47.295829773
5211.035	-41.635959625	-45.719360352
5254.101	-41.11574173	-45.266212463
5297.167	-40.575866699	-44.752780914
5340.234	-38.425712585	-42.540351868
5383.3	-38.101215363	-42.199184418
5426.367	-43.500068665	-47.564189911
5469.433	-53.603431702	-58.261619568
5512.5	-45.270462036	-49.654785156
5555.566	-45.230751038	-49.53395462
5598.632	-50.262550354	-54.432975769
5641.699	-69.980232239	-75.777946472
5684.765	-52.263824463	-56.672462463
5727.832	-51.773532867	-56.153884888
5770.898	-57.847167969	-62.04573822
5813.964	-57.287887573	-62.00062561
5857.031	-51.85867691	-55.982681274
5900.097	-50.174583435	-54.369384766
5943.164	-44.287719727	-49.119796753
5986.23	-40.955543518	-45.803340912
6029.296	-42.786670685	-47.640205383
6072.363	-52.147064209	-56.852798462
6115.429	-50.575374603	-55.50743103
6158.496	-45.289131165	-50.260810852
6201.562	-49.268592834	-54.245727539
6244.628	-46.460910797	-51.417316437
6287.695	-45.600353241	-50.473941803
6330.761	-47.69997406	-52.636764526
6373.828	-41.715953827	-46.783321381
6416.894	-43.450634003	-48.426837921
6459.96	-48.094295502	-53.25378418
6503.027	-45.243583679	-50.606361389
6546.093	-45.927947998	-51.251964569
6589.16	-46.305828094	-51.609226227
6632.226	-45.869777679	-51.287578583
6675.292	-44.141899109	-49.574642181
6718.359	-48.644985199	-53.963851929
6761.425	-57.425186157	-62.440925598
6804.492	-49.426418304	-54.85282135
6847.558	-44.106681824	-49.628765106
6890.625	-42.230159759	-47.825111389
6933.691	-42.256710052	-47.947731018
6976.757	-48.105556488	-53.758125305
7019.824	-64.871925354	-69.851959228
7062.89	-51.080924988	-56.957489014
7105.957	-43.903106689	-49.610897064
7149.023	-42.128093719	-47.809207916
7192.089	-43.917419434	-49.642974853
7235.156	-47.119411468	-52.982414246
7278.222	-45.697525024	-51.596370697
7321.289	-44.637908936	-50.478057861
7364.355	-48.191108704	-54.060920715
7407.421	-54.961761475	-61.197929382
7450.488	-58.363243103	-64.628631592
7493.554	-53.02545929	-59.822502136
7536.621	-47.796989441	-54.397888184
7579.687	-44.248390198	-50.734500885
7622.753	-43.84916687	-50.386066437
7665.82	-44.465072632	-51.014865875
7708.886	-44.049041748	-50.486904144
7751.953	-43.172870636	-49.604415894
7795.019	-46.88199234	-53.537185669
7838.085	-47.787097931	-54.584609985
7881.152	-41.928089142	-48.474559784
7924.218	-44.041534424	-50.613845825
7967.285	-56.260757446	-63.084129333
8010.351	-53.394424438	-59.896743774
8053.417	-49.51865387	-56.109069824
8096.484	-53.363517761	-59.93863678
8139.55	-59.657684326	-66.913009644
8182.617	-50.508029938	-57.394569397
8225.683	-46.015060425	-52.653968811
8268.75	-45.458847046	-52.112342834
8311.816	-46.841335297	-53.466934204
8354.882	-48.42539978	-54.838150024
