Alanis Morissette
July 28th, 2004
Shoreline Ampitheatre-Mountain View,CA

Source: Schoeps MK4s > Nbox > SBM-1 > D-100
Conversion: Fostex D5 > DIO2448 > Soundforge 7.0a > shntool 2.0.3
Recording and Mastering by Some Puerto Rican Guy

Disc 1:
01. Intro			02:35.08   
02. 8 Easy Steps		02:58.59       
03. All I Really Want		05:46.72       
04. Excuses			03:56.63       
05. Not The Doctor		04:50.08      
06. Perfect			04:27.31       
07. Head Over Feet		04:50.57       
08. Not All Me			04:08.16       
09. The Couch 1			02:15.64       
10. U Oughta Know		04:59.13       
11. Uninvited			05:58.68       
12. Hands Clean			04:54.50       
13. The Couch 2			02:09.64       
14. Hand In My Pocket		04:55.45       
15. Ironic			04:19.40       
16. Everything			04:49.51       
17. You Learn			04:25.53       
18. Thank U			05:16.34       

Total:				77:39.46      
