CD: Alice In Chains - I am Firegod - Bootleg
1992-11-29 Toronto, Ontario, Canada

Linege: Silver > WAV (EAC) > FLAC

01. Dam That River    [0:03:54.35]
02. We Die Young    [0:02:35.22]
03. Them Bones    [0:02:35.18]
04. Would    [0:03:46.47]
05. Junkhead    [0:05:22.15]
06. Bleed The Freak    [0:04:07.30]
07. Rooster    [0:06:53.63]
08. It Ain't Like That    [0:04:42.45]
09. Hate To Feel    [0:05:33.15]
10. God Smack    [0:03:56.12]
11. Sickman    [0:05:43.58]
12. Angry Chair    [0:04:40.00]
