shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:36.02        6355148 B   ---   --   ---xx   flac  0.3587  Track 01-Press Conference.flac
     2:48.01       29637596 B   ---   --   ---xx   flac  0.2276  Track 02- She Belongs To Me.flac
     3:06.69       32972732 B   ---   --   ---xx   flac  0.2264  Track 03-I Threw It All Away.flac
     4:34.32       48408908 B   ---   --   ---xx   flac  0.2415  Track 04- Maggies Farm.flac
     3:06.50       32928044 B   ---   --   ---xx   flac  0.2200  Track 05- Wild Mountain Thyme.flac
     3:18.02       34931948 B   ---   --   ---xx   flac  0.2178  Track 06-It Aint Me Babe.flac
     2:19.10       24543164 B   ---   --   ---xx   flac  0.2170  Track 07-To Ramona.flac
     3:36.54       38229452 B   ---   --   ---xx   flac  0.2204  Track 08-Mr Tambourine Man.flac
     3:19.17       35143628 B   ---   --   ---xx   flac  0.2280  Track 09-I Dreamed I Saw St Augustine.flac
     3:39.70       38796284 B   ---   --   ---xx   flac  0.2253  Track 10- Lay Lady Lay.flac
     3:38.62       38601068 B   ---   --   ---xx   flac  0.2533  Track 11- Highway 61 Revisited.flac
     2:26.36       25839116 B   ---   --   ---xx   flac  0.2412  Track 12-One Too Many Mornings.flac
     3:44.71       39680636 B   ---   --   ---xx   flac  0.2399  Track 13-I Pity The Poor Immigrant.flac
     4:56.08       52233260 B   ---   --   ---xx   flac  0.2537  Track 14- Like A Rolling Stone.flac
     3:16.19       34619132 B   ---   --   ---xx   flac  0.2515  Track 15- I ll Be Your Baby Tonight.flac
     2:53.03       30524300 B   ---   --   ---xx   flac  0.2614  Track 16-Quinn The Eskimo.flac
     3:19.38       35193020 B   ---   --   ---xx   flac  0.2311  Track 17- Minstrel Boy.flac
     3:05.33       32711660 B   ---   --   ---xx   flac  0.4734  Track 18-Rainy Day Women.flac
    57:45.52      611349096 B                            0.2497  (18 files)
