    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:40.30        7126604 B   ---   --   ---xx   flac  0.4252  BuffaloTom2014-06-21set1t01.flac
     4:12.68       44612780 B   ---   --   ---xx   flac  0.6218  BuffaloTom2014-06-21set1t02.flac
     3:50.35       40654364 B   ---   --   ---xx   flac  0.6668  BuffaloTom2014-06-21set1t03.flac
     5:34.02       58922348 B   ---   --   ---xx   flac  0.6184  BuffaloTom2014-06-21set1t04.flac
     4:52.34       51588812 B   ---   --   ---xx   flac  0.5701  BuffaloTom2014-06-21set1t05.flac
     2:14.65       23790524 B   ---   --   ---xx   flac  0.4743  BuffaloTom2014-06-21set1t06.flac
     2:08.50       22696844 B   ---   --   ---xx   flac  0.5997  BuffaloTom2014-06-21set1t07.flac
     4:49.73       51151340 B   ---   --   ---xx   flac  0.6005  BuffaloTom2014-06-21set1t08.flac
     3:12.53       33993500 B   ---   --   ---xx   flac  0.6645  BuffaloTom2014-06-21set1t09.flac
     3:09.48       33452540 B   ---   --   ---xx   flac  0.6087  BuffaloTom2014-06-21set1t10.flac
     4:18.26       45572396 B   ---   --   ---xx   flac  0.6022  BuffaloTom2014-06-21set1t11.flac
     3:18.31       35000156 B   ---   --   ---xx   flac  0.6256  BuffaloTom2014-06-21set1t12.flac
     2:25.06       25592156 B   ---   --   ---xx   flac  0.6464  BuffaloTom2014-06-21set1t13.flac
     4:58.57       52701308 B   ---   --   ---xx   flac  0.5816  BuffaloTom2014-06-21set1t14.flac
     0:32.48        5757740 B   ---   --   ---xx   flac  0.4529  BuffaloTom2014-06-21set1t15.flac
     4:17.65       45487724 B   ---   --   ---xx   flac  0.6507  BuffaloTom2014-06-21set1t16.flac
     2:53.35       30599564 B   ---   --   ---xx   flac  0.4498  BuffaloTom2014-06-21set2t01.flac
     1:01.19       10805132 B   ---   --   ---xx   flac  0.4884  BuffaloTom2014-06-21set2t02.flac
     5:23.56       57108956 B   ---   --   ---xx   flac  0.5991  BuffaloTom2014-06-21set2t03.flac
     2:01.68       21504380 B   ---   --   ---xx   flac  0.6005  BuffaloTom2014-06-21set2t04.flac
     0:50.05        8831804 B   ---   --   ---xx   flac  0.4701  BuffaloTom2014-06-21set2t05.flac
     4:10.70       44264684 B   ---   --   ---xx   flac  0.5178  BuffaloTom2014-06-21set2t06.flac
     3:01.50       32046044 B   ---   --   ---xx   flac  0.5609  BuffaloTom2014-06-21set2t07.flac
     4:32.36       48065516 B   ---   --   ---xx   flac  0.5792  BuffaloTom2014-06-21set2t08.flac
     2:24.54       25528652 B   ---   --   ---xx   flac  0.6031  BuffaloTom2014-06-21set2t09.flac
     4:32.03       47987900 B   ---   --   ---xx   flac  0.6193  BuffaloTom2014-06-21set2t10.flac
     2:47.42       29557628 B   ---   --   ---xx   flac  0.5662  BuffaloTom2014-06-21set2t11.flac
     4:20.25       45922844 B   ---   --   ---xx   flac  0.4821  BuffaloTom2014-06-21set2t12.flac
     3:44.42       39612428 B   ---   --   ---xx   flac  0.6020  BuffaloTom2014-06-21set2t13.flac
     4:30.65       47780924 B   ---   --   ---xx   flac  0.6295  BuffaloTom2014-06-21set2t14.flac
     0:43.23        7639340 B   ---   --   ---xx   flac  0.4296  BuffaloTom2014-06-21set2t15.flac
     4:49.15       51014924 B   ---   --   ---xx   flac  0.5043  BuffaloTom2014-06-21set2t16.flac
     3:07.64       33137372 B   ---   --   ---xx   flac  0.5963  BuffaloTom2014-06-21set2t17.flac
     3:06.28       32876300 B   ---   --   ---xx   flac  0.6356  BuffaloTom2014-06-21set2t18.flac
     1:01.57       10894508 B   ---   --   ---xx   flac  0.4862  BuffaloTom2014-06-21set2t19.flac
     4:17.50       45452444 B   ---   --   ---xx   flac  0.6119  BuffaloTom2014-06-21set2t20.flac
     2:52.53       30465500 B   ---   --   ---xx   flac  0.4768  BuffaloTom2014-06-21set2t21.flac
     4:17.52       45457148 B   ---   --   ---xx   flac  0.5801  BuffaloTom2014-06-21set2t22.flac
     3:39.62       38777468 B   ---   --   ---xx   flac  0.6563  BuffaloTom2014-06-21set2t23.flac
     5:22.23       56854940 B   ---   --   ---xx   flac  0.5630  BuffaloTom2014-06-21set2t24.flac
   134:11.38     1420287536 B                            0.5838  (40 files)
