    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     1:36.973      27928364 B   cxx   --   ---xx   flac  0.6852  BuffaloTom2023-12-02t01.flac
     2:59.040      51563564 B   cxx   --   ---xx   flac  0.7313  BuffaloTom2023-12-02t02.flac
     4:06.640      71032364 B   cxx   --   ---xx   flac  0.7414  BuffaloTom2023-12-02t03.flac
     4:16.747      73943084 B   cxx   --   ---xx   flac  0.7550  BuffaloTom2023-12-02t04.flac
     4:39.347      80451884 B   cxx   --   ---xx   flac  0.7537  BuffaloTom2023-12-02t05.flac
     5:02.347      87075884 B   cxx   --   ---xx   flac  0.7370  BuffaloTom2023-12-02t06.flac
     4:21.480      75306284 B   cxx   --   ---xx   flac  0.7662  BuffaloTom2023-12-02t07.flac
     0:47.293      13620524 B   cxx   --   ---xx   flac  0.6692  BuffaloTom2023-12-02t08.flac
     2:58.893      51521324 B   cxx   --   ---xx   flac  0.7483  BuffaloTom2023-12-02t09.flac
     3:49.120      65986604 B   cxx   --   ---xx   flac  0.7573  BuffaloTom2023-12-02t10.flac
     4:59.813      86346284 B   cxx   --   ---xx   flac  0.7072  BuffaloTom2023-12-02t11.flac
     1:36.147      27690284 B   cxx   --   ---xx   flac  0.6479  BuffaloTom2023-12-02t12.flac
     2:40.147      46122284 B   cxx   --   ---xx   flac  0.7439  BuffaloTom2023-12-02t13.flac
     3:29.080      60215084 B   cxx   --   ---xx   flac  0.7271  BuffaloTom2023-12-02t14.flac
     2:29.947      43184684 B   cxx   --   ---xx   flac  0.7506  BuffaloTom2023-12-02t15.flac
     3:06.560      53729324 B   cxx   --   ---xx   flac  0.7548  BuffaloTom2023-12-02t16.flac
     2:03.933      35692844 B   cxx   --   ---xx   flac  0.7562  BuffaloTom2023-12-02t17.flac
     4:39.040      80363564 B   cxx   --   ---xx   flac  0.7301  BuffaloTom2023-12-02t18.flac
     1:06.240      19077164 B   cxx   --   ---xx   flac  0.6759  BuffaloTom2023-12-02t19.flac
     4:13.960      73140524 B   cxx   --   ---xx   flac  0.7776  BuffaloTom2023-12-02t20.flac
     1:01.133      17606444 B   cxx   --   ---xx   flac  0.6678  BuffaloTom2023-12-02t21.flac
     3:59.360      68935724 B   cxx   --   ---xx   flac  0.7363  BuffaloTom2023-12-02t22.flac
     0:33.120       9538604 B   cxx   --   ---xx   flac  0.6718  BuffaloTom2023-12-02t23.flac
     3:52.027      66823724 B   cxx   --   ---xx   flac  0.7664  BuffaloTom2023-12-02t24.flac
     5:01.733      86899244 B   cxx   --   ---xx   flac  0.7524  BuffaloTom2023-12-02t25.flac
     3:20.733      57811244 B   cxx   --   ---xx   flac  0.6612  BuffaloTom2023-12-02t26.flac
     5:22.080      92759084 B   cxx   --   ---xx   flac  0.7449  BuffaloTom2023-12-02t27.flac
     3:49.720      66159404 B   cxx   --   ---xx   flac  0.7478  BuffaloTom2023-12-02t28.flac
     2:11.240      37797164 B   cxx   --   ---xx   flac  0.6714  BuffaloTom2023-12-02t29.flac
     3:00.360      51943724 B   cxx   --   ---xx   flac  0.7646  BuffaloTom2023-12-02t30.flac
     3:52.293      66900524 B   cxx   --   ---xx   flac  0.7524  BuffaloTom2023-12-02t31.flac
     4:46.520      82517804 B   cxx   --   ---xx   flac  0.7746  BuffaloTom2023-12-02t32.flac
     0:36.293      10452524 B   cxx   --   ---xx   flac  0.6703  BuffaloTom2023-12-02t33.flac
     3:41.187      63701804 B   cxx   --   ---xx   flac  0.7945  BuffaloTom2023-12-02t34.flac
     0:38.333      11040044 B   cxx   --   ---xx   flac  0.6720  BuffaloTom2023-12-02t35.flac
     4:18.893      74561324 B   cxx   --   ---xx   flac  0.6928  BuffaloTom2023-12-02t36.flac
     3:21.920      58153004 B   cxx   --   ---xx   flac  0.7659  BuffaloTom2023-12-02t37.flac
     1:16.053      21903404 B   cxx   --   ---xx   flac  0.6625  BuffaloTom2023-12-02t38.flac
     4:32.687      78533804 B   cxx   --   ---xx   flac  0.6977  BuffaloTom2023-12-02t39.flac
   124:18.433    2148030516 B                            0.7370  (39 files)
