Bush
"Gavin's Birthday Party" unofficial CD

1-1 	Are You Lonesome Tonight? 	
1-2 	A Tendency To Start Fires 	
1-3 	Personal Holloway 	
1-4 	Machinehead 	
1-5 	Insect Kin 	
1-6 	Mouth 
1-7 	History	
1-8 	Everything Zen 	
1-9 	Cold Contagious 	
1-10 	Bonedriven 	
1-11 	Glycerine 	
1-12 	Testosterone 	
2-1 	Body 	
2-2 	Comedown 	
2-3 	Happy Birthday To Gavin 	
2-4 	Swallowed 	
2-5 	Greedy Fly 	
2-6 	X-girlfriend 	
2-7 	Little Things 	
	Bonus Tracks
2-8 	Synapse 	
2-9 	X-girlfriend 	
2-10 	Old 	
2-11 	Cold Contagious 	
2-12 	Monkey 	
2-13 	Swallowed 	
2-14 	Broken TV

Disc1 Tracks 1 - 11 Recorded live at the Ahoy, Rotterdam 30 October 1997
Disc2 Tracks 1 - 7  Recorded live at the Ahoy, Rotterdam 30 October 1997
Disc2 Tracks 8 - 14 Recorded live at Vredenburg, Utrecht 27 February 1997
