shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     8:03.65       85354124 B   ---   --   ---xx   flac  0.6236  ccorea1990-10-15d1t01.flac
     4:22.39       46308572 B   ---   --   ---xx   flac  0.6400  ccorea1990-10-15d1t02.flac
     8:44.21       92483036 B   ---   --   ---xx   flac  0.6304  ccorea1990-10-15d1t03.flac
     0:28.31        5012156 B   ---   --   ---xx   flac  0.5120  ccorea1990-10-15d1t04.flac
     1:02.54       11063852 B   ---   --   ---xx   flac  0.5857  ccorea1990-10-15d1t05.flac
     7:10.03       75859100 B   ---   --   ---xx   flac  0.6460  ccorea1990-10-15d1t06.flac
     9:35.64      101580572 B   ---   --   ---xx   flac  0.6298  ccorea1990-10-15d1t07.flac
     6:23.39       67652972 B   ---   --   ---xx   flac  0.6512  ccorea1990-10-15d1t08.flac
     4:06.53       43519100 B   ---   --   ---xx   flac  0.5152  ccorea1990-10-15d1t09.flac
    20:35.73      218025740 B   ---   --   ---xx   flac  0.6303  ccorea1990-10-15d1t10.flac
     4:47.04       50636252 B   ---   --   ---xx   flac  0.6802  ccorea1990-10-15d1t11.flac
    75:20.71      797495476 B                            0.6289  (11 files)
