Counting Crows
June 25, 2012
Iroquois Amphitheater
Louisville, KY


Taper: Greg Bernard
Location:  Second Row, Center
Source:  Tascam iM2 > iPhone 4 > WAV
Editing:  Tracking and fades done with Audacity
Compression: Trader's Little Helper v.2.7.0 (Build 172)



TRACKLIST:					TIME:

01- Intro					01:30
02- Round Here					06:47
03- Untited (Love Song)				04:54
04- High Life					06:41
05- Insignificant				04:39
06- Hospital					03:26
07- Speedway					04:57
08- Ooh La La					04:37
09- Rain King					08:01
10- Intro to Start Again			01:11
11- Start Again					03:42
12- Children in Bloom				07:59
13- Adam Talking				02:25
14- Goodnight L.A.				04:02
15- A Long December				06:08
16- Return of the Grievous Angel		04:16
17- Hanginaround				05:06
18- Encore Break				01:14
19- Up All Night				05:11
20- You Ain't Goin' Nowhere			04:31
21- Greybird Announcement			02:35
22- This Land is Your Land			03:17
23- Band Introductions - Outro			01:52

				 GRAND TOTAL-   98:52
