    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     1:45.39       18613772 B   ---   --   ---xx   flac  0.4757  dmb2015-07-25.ck63.722.t01.flac
     3:40.64       38958572 B   ---   --   ---xx   flac  0.4626  dmb2015-07-25.ck63.722.t02.flac
     5:11.21       54909836 B   ---   --   ---xx   flac  0.4845  dmb2015-07-25.ck63.722.t03.flac
     4:41.20       49615484 B   ---   --   ---xx   flac  0.5829  dmb2015-07-25.ck63.722.t04.flac
     9:02.19       95653532 B   ---   --   ---xx   flac  0.5650  dmb2015-07-25.ck63.722.t05.flac
     5:15.26       55627196 B   ---   --   ---xx   flac  0.5672  dmb2015-07-25.ck63.722.t06.flac
     7:22.16       78006476 B   ---   --   ---xx   flac  0.6130  dmb2015-07-25.ck63.722.t07.flac
     4:15.26       45043196 B   ---   --   ---xx   flac  0.5374  dmb2015-07-25.ck63.722.t08.flac
    10:52.61      115156316 B   ---   --   ---xx   flac  0.5764  dmb2015-07-25.ck63.722.t09.flac
     5:13.39       55304972 B   ---   --   ---xx   flac  0.5690  dmb2015-07-25.ck63.722.t10.flac
    13:38.06      144309356 B   ---   --   ---xx   flac  0.5659  dmb2015-07-25.ck63.722.t11.flac
     2:04.10       21897164 B   ---   --   ---xx   flac  0.4554  dmb2015-07-25.ck63.722.t12.flac
     7:25.12       78526268 B   ---   --   ---xx   flac  0.5837  dmb2015-07-25.ck63.722.t13.flac
     5:21.59       56763212 B   ---   --   ---xx   flac  0.5782  dmb2015-07-25.ck63.722.t14.flac
    16:50.04      178173452 B   ---   --   ---xx   flac  0.5543  dmb2015-07-25.ck63.722.t15.flac
     5:16.50       55860044 B   ---   --   ---xx   flac  0.6002  dmb2015-07-25.ck63.722.t16.flac
    11:11.45      118470284 B   ---   --   ---xx   flac  0.5739  dmb2015-07-25.ck63.722.t17.flac
    12:06.31      128139356 B   ---   --   ---xx   flac  0.5713  dmb2015-07-25.ck63.722.t18.flac
     7:30.70       79544684 B   ---   --   ---xx   flac  0.5142  dmb2015-07-25.ck63.722.t19.flac
     4:38.16       49076876 B   ---   --   ---xx   flac  0.5856  dmb2015-07-25.ck63.722.t20.flac
     1:01.47       10870988 B   ---   --   ---xx   flac  0.4327  dmb2015-07-25.ck63.722.t21.flac
     5:11.68       55020380 B   ---   --   ---xx   flac  0.5769  dmb2015-07-25.ck63.722.t22.flac
     4:16.13       45189020 B   ---   --   ---xx   flac  0.5466  dmb2015-07-25.ck63.722.t23.flac
     3:38.63       38603420 B   ---   --   ---xx   flac  0.5369  dmb2015-07-25.ck63.722.t24.flac
    10:40.72      113065388 B   ---   --   ---xx   flac  0.5237  dmb2015-07-25.ck63.722.t25.flac
     6:03.53       64157900 B   ---   --   ---xx   flac  0.5864  dmb2015-07-25.ck63.722.t26.flac
    15:21.73      162636140 B   ---   --   ---xx   flac  0.5744  dmb2015-07-25.ck63.722.t27.flac
     7:01.60       74405564 B   ---   --   ---xx   flac  0.4588  dmb2015-07-25.ck63.722.t28.flac
     6:43.44       71192732 B   ---   --   ---xx   flac  0.6167  dmb2015-07-25.ck63.722.t29.flac
     9:20.25       98842844 B   ---   --   ---xx   flac  0.6061  dmb2015-07-25.ck63.722.t30.flac
   212:44.27     2251634424 B                            0.5602  (30 files)

