Death Cab For Cutie
Bumbershoot, Seattle, WA
September 5, 2008

Taper:      Mike Vernal
Location:   100' FOB, DFC
Source:     Neumann KM140s > Sound Devices 722 (24/96)

Disc One:

01: Intro                                       - 00:43.41
02: Bixby Canyon Bridge                         - 04:54.50
03: The New Year                                - 03:29.15
04: Why You'd Want To Live Here                 - 04:57.42
05: Crooked Teeth                               - 03:10.02
06: Long Division                               - 04:21.29
07: Grapevine Fires                             - 04:51.22
08: A Movie Script Ending                       - 03:56.23
09: Company Calls                               - 03:20.50
10: Summer Skin                                 - 03:30.17
11: Soul Meets Body                             - 04:17.28
12: I Will Follow You Into The Dark             - 03:34.74
13: I Will Possess Your Heart                   - 08:04.26
14: Cath...                                     - 03:59.05
15: Expo '86                                    - 03:56.07
16: The Sound Of Settling                       - 02:47.43
17: Marching Bands Of Manhattan                 - 06:20.72

Total:                                          - 70:15.21

Disc Two:

01: Title And Registration                      - 03:55.50
02: No Sunlight                                 - 03:16.24
03: Tiny Vessels                                - 04:02.44
04: Transatlanticism                            - 09:02.38

Total:                                          - 20:17.06

