    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     1:34.707      27275564 B   cxx   --   ---xx   flac  0.6193  dcfc2023-10-01t01.flac
     3:41.200      63705644 B   cxx   --   ---xx   flac  0.6812  dcfc2023-10-01t02.flac
     3:24.240      58821164 B   cxx   --   ---xx   flac  0.6322  dcfc2023-10-01t03.flac
     3:42.200      63993644 B   cxx   --   ---xx   flac  0.6542  dcfc2023-10-01t04.flac
     4:04.053      70287404 B   cxx   --   ---xx   flac  0.6587  dcfc2023-10-01t05.flac
     2:31.947      43760684 B   cxx   --   ---xx   flac  0.6822  dcfc2023-10-01t06.flac
     3:57.173      68305964 B   cxx   --   ---xx   flac  0.6485  dcfc2023-10-01t07.flac
     7:55.653     136988204 B   cxx   --   ---xx   flac  0.6332  dcfc2023-10-01t08.flac
     4:07.840      71377964 B   cxx   --   ---xx   flac  0.5773  dcfc2023-10-01t09.flac
     3:25.107      59070764 B   cxx   --   ---xx   flac  0.6468  dcfc2023-10-01t10.flac
     5:25.333      93696044 B   cxx   --   ---xx   flac  0.6640  dcfc2023-10-01t11.flac
     3:54.995      67678508 B   cxx   --   ---xx   flac  0.6098  dcfc2023-10-01t12.flac
    47:44.448     824961552 B                            0.6418  (12 files)
