Date		Location					Format		
							
1995.11.05	7th Street Entry, Minneapolis, MN, USA 		CD
1995.11.05	7th Street Entry, Minneapolis, MN, USA 		Cassette					
1995.11.06	Shank Hall, Milwaukee, WI, USA 			CD	
1995.11.10	Opera House, Toronto, ONT, Canada 		CD		
1995.11.15	Theater of Living Arts, Philadelphia, PA, USA 	CD		
1995.11.23	The Forum, London, England 			CD	
1995.11.25	Melkweg, Amsterdam, The Netherlands 		CD	
1995.11.27	Grosse Freiheit, Hamburg, Germany 		CD	
1995.11.30	VK Club, Brussels, Belgium 			CD	
1995.12.06	WMRQ Holiday Show, The Sting, New Britain, CT 	Cassette					
1995.12.06	WMRQ Holiday Show, The Sting, New Britain, CT 	CD					
1995.12.12	Moe?s, Seattle, WA, USA 			CD		
1995.12.15	Berkeley Community Theater, Berkeley, CA, USA 	CD
1995.12.17	KROQ Holiday Show, Los Angeles, CA, USA 	CD
1995.12.18	KROQ Holiday Show, Los Angeles, CA, USA 	CD
1996.02.27	Numbers, Houston, TX, USA 			CD	
1996.03.14	Barrymore Theatre, Madison, WI, USA 		CD					
1996.03.24	Brixton Academy, London, England 		CD	
1996.04.03	Elysee Montmatre, Paris, France 		CD
1996.04.04	Batshkapp, Frankfurt, Germany 			CD	
1996.04.07	Phillipshelter, Dusseldorf, Germany 		CD
1996.04.09	Leeds Metropolitan University, Leeds, England 	CD	
1996.05.05	La Luna, Portland, OR, USA 			CD	
1996.05.09	The Glass House, Pomona, CA, USA 		CD
1996.06.15	KROQ Weenie Roast, Los Angeles, CA, USA 	CD	
1996.06.27	Market Square Arena, Indianapolis IN, USA 	CD	
1996.07.02	Memorial Auditorium, Buffalo, NY, USA 		CD
1996.08.06	Rockefeller Music Hall, Oslo, Norway 		CD					
1996.08.18	Black Session Festival, St. Malo, France 	CD					
1996.08.21	Longhorn, Stuttgart, Germany 			CD					
1996.08.23	Pukkelpop Festival, Hasselt, Belgium 		CD					
1996.10.15	Club Quattro, Tokyo, Japan 			CD					
1996.10.16	Club Quattro, Tokyo, Japan 			CD					
1996.10.18	Club Quattro, Osaka, Japan 			CD					
1996.11.07	Beacon Theatre, New York City, NY, USA 		CD					
1996.12.14	Cow Palace, San Francisco, CA, USA 		CD					
1998.05.15	Ryan?s Ballroom, Combined Locks, WI, USA 	CD					
1998.05.15	Ryan?s Ballroom, Combined Locks, WI, USA 	Cassette					
1998.05.20	Warfield, San Francisco, CA, USA 		CD					
1998.05.20	Warfield, San Francisco, CA, USA 		Cassette					
1998.05.21	Palace, Los Angeles, CA, USA 			CD	
1998.05.21	Palace, Los Angeles, CA, USA 			Cassette					
1998.05.24	Phoenix, Toronto, Ontario, Canada 		CD					
1998.05.26	Avalon, Boston, MA, USA 			CD					
1998.05.28	Roseland, New York, NY, USA 			CD					
1998.05.28	Roseland, New York, NY, USA 			Cassette					
1998.06.03	Le Zenith, Paris, France 			CD					
1998.06.16	Libro Festival, Vienna, Austria 		CD					
1998.06.18	Kongresshalle, Stuttgart, Germany 		CD					
1998.06.20	Loreley Festival, Loreley, Germany 		CD					
1998.06.26	Roskilde Festival, Roskilde, Denmark 		CD					
1998.06.26	Roskilde Festival, Roskilde, Denmark 		Cassette					
1998.07.02	Open Air Arena, Nancy, France 			CD					
1998.07.07	Festa Dell?Unita, Correggio, Italy 		CD					
1998.07.24	Aragon Ballroom, Chicago, IL, USA 		CD					
1998.08.01	Fuji Rock Festival, Tokyo, Japan 		CD					
1998.08.30	Reading Festival, Reading, England 		CD					
1998.09.18	Wasatch Events Center, Salt Lake City, UT, USA 	CD					
1998.09.20	Amory, Salem, OR, USA 				Cassette					
1998.09.21	Plaza of Nations, Vancouver, BC			CD					
1998.09.21	Plaza of Nations, Vancouver, BC			CD
1998.09.24	Freeborn Hal, Davis, CA, USA 			Cassette					
1998.09.24	Freeborn Hall, Davis, CA			CD					
1998.09.24	Freeborn Hall - Davis CA			CD					
1998.09.25	Event Center, San Jose, CA			CD					
1998.09.25	Event Center, San Jose, CA			Cassette					
1998.09.30	Kern County Fair, Bakersfield, CA		CD					
1998.10.02	Rainbow Ballroom, Fresno, CA			CD					
1998.10.13	Diamond Ballroom, Oklahoma City, OK		CD					
1998.10.15	Bronco Bowl, Dallas, TX				Cassette					
1998.10.26	Y100 Sonic Session, Philadelphia, PA		CD					
1998.10.30	Roseland, New York, NY				CD	
1998.10.30	Roseland, New York, NY				Cassette					
1998.11.07	Lyric Kitchener Ontario, Canada			CD					
1998.11.07	Lyric Kitchener Ontario, Canada			Cassette					
1998.11.08	Warehouse, Toronto, Ontario, Canada		CD					
1998.11.18	Dane County Expo Center, Madison, WI		CD					
1998.11.24	Eagles Ballroom, Milwaukee, WI			CD					
