    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:40.22        7107788 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t01.wav
     4:22.63       46365020 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t02.wav
     4:00.01       42338396 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t03.wav
     4:50.72       51325388 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t04.wav
     3:11.15       33727724 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t05.wav
     4:04.67       43199228 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t06.wav
     6:27.15       68302124 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t07.wav
     3:17.13       34781420 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t08.wav
     6:24.58       67874060 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t09.wav
     4:12.13       44483420 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d01t10.wav
     4:39.46       49323836 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t01.wav
     3:34.11       37775516 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t02.wav
     6:42.08       70931660 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t03.wav
     3:43.01       39339596 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t04.wav
     4:23.58       46529660 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t05.wav
     5:35.10       59117564 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t06.wav
     4:09.26       43984796 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t07.wav
     4:49.39       51071372 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t08.wav
     4:20.58       46000460 B   ---   --   -----    wav  1.0000  Garbage2005-09-10 d02t09.wav
    83:28.71      883579028 B                            1.0000  (19 files)
