Song                                    Year   Source                                                        Length
Sweet Children (Demo)                   1988   Turn it Around: The Story of East Bay Punk soundtrack           1:42
Rox Yer Ass                             1993   Live Without Spot compilation, recorded in Dookie sessions      1:44
409 in Your Coffeemaker (Rerecording)   1993   Basket Case single, recorded in Dookie sessions                 2:53
Good Riddance (Original)                1995   Brain Stew/Jaded single, recorded in Insomniac sessions         2:02
Walking Contradiction (Remix)           1996   Radio edit and music video                                      2:31
DUI                                     1997   Unmastered copies of Shenanigans, recorded in Nimrod sessions   1:48
Prosthetic Head (Remix)                 1997   Promotional copies of Nimrod                                    3:31
Redundant (Remix)                       1997   Promotional copies of Nimrod                                    3:18
The Ballad of Wilhelm Fink              1999   Short Music for Short People compilation                        0:32
Hold On (Alternate Mix)                 2000   Promotional copies of Warning                                   2:59
Minnesota Girl                          2001   greenday.com phone messages                                     3:13
Rockin' Around the Christmas Tree       2001   greenday.com phone messages                                     1:41
Santa Claus is Coming to Town           2001   greenday.com phone messages                                     2:36
The First Noel                          2001   greenday.com phone messages                                     1:27
Things I Heard Today                    2001   greenday.com phone messages                                     2:36
What About Today?                       2001   greenday.com phone messages                                     1:47
Second Time Around                      2002   greenday.com phone messages                                     2:17
Foiled Can                              2003   greenday.com phone messages                                     0:35
Favorite Son                            2004   Rock Against Bush compilation                                   2:13
Mechnical Man                           2006   Live Freaky! Die Freaky! soundtrack                             3:09
