Guster
October 5th, 1996
Paradise Rock Club, Boston, MA
Master source:
SBD>D7
by Neil Brodsky
DAT>CD by Bill Lakenan [setup unknown]
CD>DAE>WAV>SHN by Dave Mallick [greenone@bluestraveler.net]
CD 1
01. Intro                     [00:57]
02. Grin                      [06:18]
03. Scars & Stitches          [03:42]
04. Demons                    [04:43]
05. Pantomime                 [04:52]
06. Fall In Two               [05:11]
07. Perfect [Needle]          [05:24]
08. Mona Lisa                 [04:51]
09. Great Escape              [02:46]
10. Ryan Rambles              [01:28]
11. Medicine                  [05:06]
CD 2
01. Bury me                   [02:45]
02. Still Lovin' You          [02:57]
03. Happy Frappy              [04:25]
04. Dissolve                  [05:44]
05. Start It All Over         [06:49]
06. Window                    [03:58]
07. Dregs                     [05:38]
08. Encore intro              [00:44]
09. Melanie                   [07:13]
10. Down In It                [03:21]
