guster2004-02-28.shn


Guster
saturday, 2/28/2004
Uptown Theatre
Kansas City, Mo

DAUD
AKG C-2000B w/-10db & Bass Cut>M-Audio Mobile Pre>SoundForge @ 44.1/16bit(Fade in/out)>CDwav(split) > mkwACT (shn)

Seeded/Tracking By Brian Price

Enjoy and spread the music.  

Disc #1		75:40

Set 1: 

01	5:04	Happier 
02	4:03	Careful 
03	5:22	Flowers (Talking Heads Cover)
04	4:56	Demons 
05	4:05	Keep It Together 
06	4:18	Amsterdam
07	7:15	Come Downstairs And Say Hello
08	4:15	What You Wish For
09	3:15	Ramona
10	3:14	Airport Song
11	4:32	Barrel Of A Gun
12	5:26	I Spy
13	3:33	Backyard
14	4:20	Center Of Attention
15	5:28	Homecoming King
16	5:56	Fa Fa
