Guster
November 26th, 2011
Wellmont Theatre, Montclair, NJ

Master:
Elation KM201's>Lunatec V3>Microtrack 24/96 @ 24-bit, 48kHz
mics XY at 8' high, centered behind the soundboard
by Dave Mallick

Conversion:
WAV>Sound Studio 4.2>xACT 2.13>FLAC
by Dave Mallick

01. Demons                                       [04:51.121]
02. Center of Attention                          [04:44.242]
03. What You Call Love                           [04:13.046]
04. Barrel of a Gun                              [03:25.956]
05. Keep It Together                             [04:37.217]
06. Diane                                        [03:58.434]
07. The Captain                                  [03:32.289]
08. Architects & Engineers                       [03:06.767]
09. Airport Song                                 [04:56.487]
10. Hang On                                      [04:36.740]
11. Come Downstairs and Say Hello                [06:43.343]
12. The Beginning of the End                     [03:50.239]
13. I Spy                                        [03:13.329]
14. Manifest Destiny                             [03:33.101]
15. This is How it Feels to Have a Broken Heart  [03:40.157]
16. banter: T-Shirt Song                         [04:49.258]
17. Amsterdam                                    [03:52.234]
18. Happier                                      [04:53.636]
19. E: One Man Wrecking Machine                  [04:32.930]
20. Parachute                                    [05:00.468]
21. Satellite                                    [04:53.130]
22. This Could All Be Yours                      [05:16.180]
23. E2: Jesus on the Radio*                      [02:20.341]
                                          Total: [98:40.646]
                                          
* with Brett Dennen
