Guster
June 12th, 2015
This Tent, Bonnaroo Festival, Manchester, TN

01. Long Night                   [05:22.439]
02. Manifest Destiny             [03:46.854]
03. Barrel Of A Gun              [04:34.580]
04. Doin' It By Myself           [04:13.563]
05. Ramona                       [03:12.317]
06. Ruby Falls                   [06:53.360]
07. Simple Machine               [03:24.998]
08. Come Downstairs & Say Hello  [05:50.782]
09. Do You Love Me               [03:54.083]
10. Never Coming Down            [04:17.824]
11. Come On Eileen               [04:11.181]
12. Satellite                    [05:26.383]
13. This Could All Be Yours      [04:37.366]
                          Total: [59:45.730]
