The Collected Jeff Tweedy, 1997—2003

Soundboards

Compiled by The Owl & The Bear
http://owlandbear.com


Disc I

01intro						0:06
02less than you think				2:39	20030106
03sunken treasure				6:31	20030106
04misunderstood					6:50	20030109
05satan your kingdom must come down		1:44	19990305
06at least that's what you said			2:26	20030109
07the auld triangle				4:57	19990203
08hummingbird					3:17	20030108
09summerteeth					3:02	19990203
10always in love				3:30	19990305
11how to fight loneliness			3:19	20030106
12hesitating beauty				2:45	20030108
13woodgrain					1:48	20030106
14box full of letters				2:48	20030108
15pecan pie					2:27	19990305
16i'm a wheel					2:34	20030106
17black eye					2:56	20030106
18airline to heaven				4:06	20030106
19she's a jar					4:28	20030108
20old maid					2:28	20030106
21good chinese apple				3:51	20030108

Disc II

01casino queen					2:41	20030108
02passenger side				3:28	20030109
03red—eyed & blue				2:05	20030108
04i got you (at the end of the century)		3:15	20030108
05when you wake up feeling old			2:38	20030109
06sugar baby					2:49	19971104
07millionaire					2:54	20030106
08far, far away					3:14	20030109
09new madrid					3:43	20030109
10bob dylan's beard				2:07	20030108
11remember the mountain bed			4:30	20030106
12gun						3:49	19990305
13i am trying to break your heart		5:21	20030109
14dear employer					5:10	20030109
15jesus, etc.					4:03	20030108
16wait up					2:08	20030109
17the long cut					2:46	19990203
18screen door					2:39	20030109
19pick up the change				3:21	19990305
20be not so fearful				2:27	20030108
21nothing'severgonnastandinmyway(again)		3:34	20030108
22say you miss me				1:10	19990305

Disc III


01in a future age				2:42	20030108
02candy floss					2:39	20030106
03dreamer in my dreams				4:37	19990203
04true love will find you			2:59	20030106
05when the roses bloom again			3:34	20030106
06laminated cat					3:12	20030106
07heavy metal drummer				3:55	20030108
08hoodoovoodoo					2:35	19990305
09i wish my baby was born			1:31	19990305
10christ for president				2:20	19990305
11lost love					2:36	20030108
12shot in the arm				3:27	19990305
13i'm the man who loves you			2:48	20030109
14forget the fowers				2:44	20030109
15via chicago					4:37	19990305
17the lonely 1					3:30	20030109
18please tell my brother			2:25	20030108
19outtasite (outtamind)				2:30	20030109
20we've been had				3:33	20030109
21one by one					3:43	20030109
22someday, some morning, sometime		3:51	20030106
