    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     2:57.56       31354556 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t01.wav
     3:26.50       36456044 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t02.wav
     4:06.41       43490876 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t03.wav
     4:08.61       43890716 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t04.wav
     5:46.71       61201436 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t05.wav
     4:19.31       45760556 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t06.wav
     4:00.69       42498332 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t07.wav
     6:24.53       67862300 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t08.wav
     4:21.60       46181564 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t09.wav
     3:19.62       35249468 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t10.wav
     6:01.17       63720428 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t11.wav
     2:43.33       28830860 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t12.wav
     4:34.09       48354812 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t13.wav
     3:13.49       34160492 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t14.wav
     4:17.57       45468908 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t15.wav
     2:55.28       30935900 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t16.wav
     4:24.02       46574348 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t17.wav
     4:44.34       50177612 B   ---   --   -----    wav  1.0000  rem1989-10-20d1t18.wav
     3:29.11       36893516 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t01.wav
     3:23.72       35978588 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t02.wav
     5:12.42       55135628 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t03.wav
     1:26.73       15342140 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t04.wav
     4:06.43       43495580 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t05.wav
     4:32.70       48145484 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t06.wav
     3:18.44       35030732 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t07.wav
     5:30.00       58212044 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t08.wav
     5:36.44       59373932 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t09.wav
     3:46.06       39880556 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t10.wav
     2:02.43       21621980 B   ---   --   -----    wav  1.0000  rem1989-10-20d2t11.wav
   118:13.31     1251279388 B                            1.0000  (29 files)
