    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     5:08.960      88980524 B   cxx   --   ---xx   flac  0.6434  RyanAdams2022-05-17t01.flac
     4:24.080      76055084 B   cxx   --   ---xx   flac  0.5574  RyanAdams2022-05-17t02.flac
     3:44.800      64742444 B   cxx   --   ---xx   flac  0.5776  RyanAdams2022-05-17t03.flac
     3:27.200      59673644 B   cxx   --   ---xx   flac  0.5693  RyanAdams2022-05-17t04.flac
     4:33.560      78785324 B   cxx   --   ---xx   flac  0.5586  RyanAdams2022-05-17t05.flac
     1:04.973      18712364 B   cxx   --   ---xx   flac  0.5623  RyanAdams2022-05-17t06.flac
     2:25.413      41879084 B   cxx   --   ---xx   flac  0.5534  RyanAdams2022-05-17t07.flac
     4:25.373      76427564 B   cxx   --   ---xx   flac  0.5822  RyanAdams2022-05-17t08.flac
     6:02.320     104348204 B   cxx   --   ---xx   flac  0.5645  RyanAdams2022-05-17t09.flac
     3:36.573      62373164 B   cxx   --   ---xx   flac  0.5747  RyanAdams2022-05-17t10.flac
     1:10.200      20217644 B   cxx   --   ---xx   flac  0.5487  RyanAdams2022-05-17t11.flac
     3:25.627      59220524 B   cxx   --   ---xx   flac  0.5905  RyanAdams2022-05-17t12.flac
     2:55.973      50680364 B   cxx   --   ---xx   flac  0.5735  RyanAdams2022-05-17t13.flac
     6:06.320     105500204 B   cxx   --   ---xx   flac  0.5990  RyanAdams2022-05-17t14.flac
     4:36.453      79618604 B   cxx   --   ---xx   flac  0.5563  RyanAdams2022-05-17t15.flac
     3:36.307      62296364 B   cxx   --   ---xx   flac  0.5593  RyanAdams2022-05-17t16.flac
     1:43.653      29852204 B   cxx   --   ---xx   flac  0.5576  RyanAdams2022-05-17t17.flac
     4:56.573      85413164 B   cxx   --   ---xx   flac  0.5759  RyanAdams2022-05-17t18.flac
     0:54.747      15767084 B   cxx   --   ---xx   flac  0.5420  RyanAdams2022-05-17t19.flac
     4:34.787      79138604 B   cxx   --   ---xx   flac  0.5739  RyanAdams2022-05-17t20.flac
     1:24.880      24445484 B   cxx   --   ---xx   flac  0.5483  RyanAdams2022-05-17t21.flac
     4:23.267      75820844 B   cxx   --   ---xx   flac  0.5515  RyanAdams2022-05-17t22.flac
     3:14.320      55964204 B   cxx   --   ---xx   flac  0.6152  RyanAdams2022-05-17t23.flac
     3:18.267      57100844 B   cxx   --   ---xx   flac  0.5700  RyanAdams2022-05-17t24.flac
     4:01.867      69657644 B   cxx   --   ---xx   flac  0.5631  RyanAdams2022-05-17t25.flac
     4:39.213      80413484 B   cxx   --   ---xx   flac  0.5642  RyanAdams2022-05-17t26.flac
     0:58.093      16730924 B   cxx   --   ---xx   flac  0.5342  RyanAdams2022-05-17t27.flac
     2:47.227      48161324 B   cxx   --   ---xx   flac  0.5973  RyanAdams2022-05-17t28.flac
     1:52.520      32405804 B   cxx   --   ---xx   flac  0.5357  RyanAdams2022-05-17t29.flac
     4:05.840      70801964 B   cxx   --   ---xx   flac  0.5780  RyanAdams2022-05-17t30.flac
     2:59.240      51621164 B   cxx   --   ---xx   flac  0.5533  RyanAdams2022-05-17t31.flac
     1:33.867      27033644 B   cxx   --   ---xx   flac  0.5284  RyanAdams2022-05-17t32.flac
     6:08.707     106187564 B   cxx   --   ---xx   flac  0.5493  RyanAdams2022-05-17t33.flac
     0:49.960      14388524 B   cxx   --   ---xx   flac  0.5719  RyanAdams2022-05-17t34.flac
     5:00.720      86607404 B   cxx   --   ---xx   flac  0.6116  RyanAdams2022-05-17t35.flac
     1:12.480      20874284 B   cxx   --   ---xx   flac  0.5364  RyanAdams2022-05-17t36.flac
     3:39.320      63164204 B   cxx   --   ---xx   flac  0.5460  RyanAdams2022-05-17t37.flac
     3:14.640      56056364 B   cxx   --   ---xx   flac  0.5724  RyanAdams2022-05-17t38.flac
     4:05.853      70805804 B   cxx   --   ---xx   flac  0.5589  RyanAdams2022-05-17t39.flac
     1:20.413      23159084 B   cxx   --   ---xx   flac  0.5453  RyanAdams2022-05-17t40.flac
     2:52.253      49609004 B   cxx   --   ---xx   flac  0.5576  RyanAdams2022-05-17t41.flac
     0:51.427      14810924 B   cxx   --   ---xx   flac  0.5525  RyanAdams2022-05-17t42.flac
     3:05.093      53306924 B   cxx   --   ---xx   flac  0.5897  RyanAdams2022-05-17t43.flac
     3:57.533      68409644 B   cxx   --   ---xx   flac  0.5868  RyanAdams2022-05-17t44.flac
     4:15.973      73720364 B   cxx   --   ---xx   flac  0.5562  RyanAdams2022-05-17t45.flac
     3:55.533      67833644 B   cxx   --   ---xx   flac  0.5878  RyanAdams2022-05-17t46.flac
     3:53.827      67342124 B   cxx   --   ---xx   flac  0.5871  RyanAdams2022-05-17t47.flac
     1:18.019      22469420 B   cxx   --   ---xx   flac  0.6201  RyanAdams2022-05-17t48.flac
   157:54.245    2728584768 B                            0.5725  (48 files)
