    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     1:12.507      41763884 B   cxx   --   ---xx   flac  0.5544  RyanAdams2023-03-18set1t01.flac
     5:05.547     175994924 B   cxx   --   ---xx   flac  0.5851  RyanAdams2023-03-18set1t02.flac
     1:09.253      39889964 B   cxx   --   ---xx   flac  0.5913  RyanAdams2023-03-18set1t03.flac
     4:13.560     146050604 B   cxx   --   ---xx   flac  0.6193  RyanAdams2023-03-18set1t04.flac
     1:31.253      52561964 B   cxx   --   ---xx   flac  0.6112  RyanAdams2023-03-18set1t05.flac
     3:55.213     135482924 B   cxx   --   ---xx   flac  0.6005  RyanAdams2023-03-18set1t06.flac
     4:45.907     164682284 B   cxx   --   ---xx   flac  0.6030  RyanAdams2023-03-18set1t07.flac
     0:57.773      33277484 B   cxx   --   ---xx   flac  0.6034  RyanAdams2023-03-18set1t08.flac
     3:18.987     114616364 B   cxx   --   ---xx   flac  0.5962  RyanAdams2023-03-18set1t09.flac
     0:33.293      19177004 B   cxx   --   ---xx   flac  0.5939  RyanAdams2023-03-18set1t10.flac
     5:25.053     187230764 B   cxx   --   ---xx   flac  0.6085  RyanAdams2023-03-18set1t11.flac
     4:16.307     147632684 B   cxx   --   ---xx   flac  0.5979  RyanAdams2023-03-18set1t12.flac
     2:42.160      93404204 B   cxx   --   ---xx   flac  0.5855  RyanAdams2023-03-18set1t13.flac
     3:38.653     125944364 B   cxx   --   ---xx   flac  0.6051  RyanAdams2023-03-18set1t14.flac
     3:57.960     137065004 B   cxx   --   ---xx   flac  0.6216  RyanAdams2023-03-18set1t15.flac
     3:21.840     116259884 B   cxx   --   ---xx   flac  0.5887  RyanAdams2023-03-18set1t16.flac
     0:40.853      23531564 B   cxx   --   ---xx   flac  0.5907  RyanAdams2023-03-18set1t17.flac
     5:53.507     203619884 B   cxx   --   ---xx   flac  0.5926  RyanAdams2023-03-18set1t18.flac
     4:23.960     152041004 B   cxx   --   ---xx   flac  0.5988  RyanAdams2023-03-18set1t19.flac
     2:24.720      83358764 B   cxx   --   ---xx   flac  0.5992  RyanAdams2023-03-18set1t20.flac
     4:34.040     157847084 B   cxx   --   ---xx   flac  0.6088  RyanAdams2023-03-18set1t21.flac
     5:07.307     177008684 B   cxx   --   ---xx   flac  0.5961  RyanAdams2023-03-18set1t22.flac
     3:41.240     127434284 B   cxx   --   ---xx   flac  0.6022  RyanAdams2023-03-18set1t23.flac
     3:40.653     127096364 B   cxx   --   ---xx   flac  0.5905  RyanAdams2023-03-18set1t24.flac
     2:17.093      78965804 B   cxx   --   ---xx   flac  0.6031  RyanAdams2023-03-18set1t25.flac
     3:27.152     119319596 B   cxx   --   ---xx   flac  0.6245  RyanAdams2023-03-18set1t26.flac
     3:02.147     104916524 B   cxx   --   ---xx   flac  0.5852  RyanAdams2023-03-18set2t01.flac
     3:50.307     132656684 B   cxx   --   ---xx   flac  0.6038  RyanAdams2023-03-18set2t02.flac
     2:13.427      76853804 B   cxx   --   ---xx   flac  0.5897  RyanAdams2023-03-18set2t03.flac
     2:42.573      93642284 B   cxx   --   ---xx   flac  0.6080  RyanAdams2023-03-18set2t04.flac
     3:37.987     125560364 B   cxx   --   ---xx   flac  0.5825  RyanAdams2023-03-18set2t05.flac
     5:01.387     173598764 B   cxx   --   ---xx   flac  0.5808  RyanAdams2023-03-18set2t06.flac
     2:45.227      95170604 B   cxx   --   ---xx   flac  0.5875  RyanAdams2023-03-18set2t07.flac
     3:28.573     120138284 B   cxx   --   ---xx   flac  0.5779  RyanAdams2023-03-18set2t08.flac
     0:33.893      19522604 B   cxx   --   ---xx   flac  0.5727  RyanAdams2023-03-18set2t09.flac
     3:41.787     127749164 B   cxx   --   ---xx   flac  0.5739  RyanAdams2023-03-18set2t10.flac
     3:33.427     122933804 B   cxx   --   ---xx   flac  0.5921  RyanAdams2023-03-18set2t11.flac
     4:55.040     169943084 B   cxx   --   ---xx   flac  0.5775  RyanAdams2023-03-18set2t12.flac
     4:49.960     167017004 B   cxx   --   ---xx   flac  0.5818  RyanAdams2023-03-18set2t13.flac
     4:14.267     146457644 B   cxx   --   ---xx   flac  0.5927  RyanAdams2023-03-18set2t14.flac
     0:45.520      26219564 B   cxx   --   ---xx   flac  0.5714  RyanAdams2023-03-18set2t15.flac
     3:36.493     124700204 B   cxx   --   ---xx   flac  0.5869  RyanAdams2023-03-18set2t16.flac
     3:50.067     132518444 B   cxx   --   ---xx   flac  0.5832  RyanAdams2023-03-18set2t17.flac
     6:02.213     208634924 B   cxx   --   ---xx   flac  0.6071  RyanAdams2023-03-18set2t18.flac
     3:55.480     135636524 B   cxx   --   ---xx   flac  0.5964  RyanAdams2023-03-18set2t19.flac
     4:12.040     145175084 B   cxx   --   ---xx   flac  0.5817  RyanAdams2023-03-18set2t20.flac
     1:28.013      50695724 B   cxx   --   ---xx   flac  0.5786  RyanAdams2023-03-18set2t21.flac
     3:53.547     134522924 B   cxx   --   ---xx   flac  0.6258  RyanAdams2023-03-18set2t22.flac
     4:44.560     163906604 B   cxx   --   ---xx   flac  0.5942  RyanAdams2023-03-18set2t23.flac
     3:56.893     136450604 B   cxx   --   ---xx   flac  0.5812  RyanAdams2023-03-18set2t24.flac
     1:36.373      55511084 B   cxx   --   ---xx   flac  0.5742  RyanAdams2023-03-18set2t25.flac
     3:51.600     133401644 B   cxx   --   ---xx   flac  0.6097  RyanAdams2023-03-18set2t26.flac
     1:34.067      54182444 B   cxx   --   ---xx   flac  0.5722  RyanAdams2023-03-18set2t27.flac
     4:17.973     148592684 B   cxx   --   ---xx   flac  0.5983  RyanAdams2023-03-18set2t28.flac
     5:27.421     188594732 B   cxx   --   ---xx   flac  0.5973  RyanAdams2023-03-18set2t29.flac
   187:58.053    6496161140 B                            0.5952  (55 files)
