    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     1:05.573      18885164 B   cxx   --   ---xx   flac  0.5966  RyanAdams2024-08-16t01.flac
     4:55.067      84979244 B   cxx   --   ---xx   flac  0.6124  RyanAdams2024-08-16t02.flac
     4:04.307      70360364 B   cxx   --   ---xx   flac  0.6126  RyanAdams2024-08-16t03.flac
     3:34.507      61777964 B   cxx   --   ---xx   flac  0.5788  RyanAdams2024-08-16t04.flac
     6:15.053     108015404 B   cxx   --   ---xx   flac  0.5861  RyanAdams2024-08-16t05.flac
     5:35.160      96526124 B   cxx   --   ---xx   flac  0.5863  RyanAdams2024-08-16t06.flac
     5:36.120      96802604 B   cxx   --   ---xx   flac  0.5595  RyanAdams2024-08-16t07.flac
     5:08.107      88734764 B   cxx   --   ---xx   flac  0.6094  RyanAdams2024-08-16t08.flac
     3:11.627      55188524 B   cxx   --   ---xx   flac  0.5746  RyanAdams2024-08-16t09.flac
     1:36.333      27744044 B   cxx   --   ---xx   flac  0.5456  RyanAdams2024-08-16t10.flac
     4:09.800      71942444 B   cxx   --   ---xx   flac  0.5967  RyanAdams2024-08-16t11.flac
     2:53.187      49877804 B   cxx   --   ---xx   flac  0.5809  RyanAdams2024-08-16t12.flac
     2:56.547      50845484 B   cxx   --   ---xx   flac  0.6034  RyanAdams2024-08-16t13.flac
     3:41.547      63805484 B   cxx   --   ---xx   flac  0.6032  RyanAdams2024-08-16t14.flac
     3:03.800      52934444 B   cxx   --   ---xx   flac  0.5820  RyanAdams2024-08-16t15.flac
     3:25.733      59251244 B   cxx   --   ---xx   flac  0.5760  RyanAdams2024-08-16t16.flac
     4:08.173      71473964 B   cxx   --   ---xx   flac  0.5700  RyanAdams2024-08-16t17.flac
     4:17.253      74089004 B   cxx   --   ---xx   flac  0.5781  RyanAdams2024-08-16t18.flac
     6:52.267     118732844 B   cxx   --   ---xx   flac  0.5629  RyanAdams2024-08-16t19.flac
     1:14.147      21354284 B   cxx   --   ---xx   flac  0.6365  RyanAdams2024-08-16t20.flac
     1:28.413      25463084 B   cxx   --   ---xx   flac  0.5710  RyanAdams2024-08-16t21.flac
     4:59.040      86123564 B   cxx   --   ---xx   flac  0.6191  RyanAdams2024-08-16t22.flac
     3:10.120      54754604 B   cxx   --   ---xx   flac  0.5913  RyanAdams2024-08-16t23.flac
     4:02.173      69745964 B   cxx   --   ---xx   flac  0.5820  RyanAdams2024-08-16t24.flac
     6:00.653     103868204 B   cxx   --   ---xx   flac  0.5751  RyanAdams2024-08-16t25.flac
     3:27.360      59719724 B   cxx   --   ---xx   flac  0.5818  RyanAdams2024-08-16t26.flac
     1:13.720      21231404 B   cxx   --   ---xx   flac  0.5579  RyanAdams2024-08-16t27.flac
     0:38.853      11189804 B   cxx   --   ---xx   flac  0.6099  RyanAdams2024-08-16t28.flac
     8:37.800     149126444 B   cxx   --   ---xx   flac  0.5544  RyanAdams2024-08-16t29.flac
     3:37.680      62691884 B   cxx   --   ---xx   flac  0.6007  RyanAdams2024-08-16t30.flac
     3:22.027      58183724 B   cxx   --   ---xx   flac  0.5738  RyanAdams2024-08-16t31.flac
     4:41.520      81077804 B   cxx   --   ---xx   flac  0.6069  RyanAdams2024-08-16t32.flac
     2:41.867      46617644 B   cxx   --   ---xx   flac  0.5571  RyanAdams2024-08-16t33.flac
     3:12.440      55422764 B   cxx   --   ---xx   flac  0.5774  RyanAdams2024-08-16t34.flac
     1:50.653      31868204 B   cxx   --   ---xx   flac  0.5498  RyanAdams2024-08-16t35.flac
     4:09.840      71953964 B   cxx   --   ---xx   flac  0.5707  RyanAdams2024-08-16t36.flac
     4:22.040      75467564 B   cxx   --   ---xx   flac  0.5786  RyanAdams2024-08-16t37.flac
     5:05.160      87886124 B   cxx   --   ---xx   flac  0.5561  RyanAdams2024-08-16t38.flac
     3:07.840      54097964 B   cxx   --   ---xx   flac  0.5740  RyanAdams2024-08-16t39.flac
     1:56.573      33573164 B   cxx   --   ---xx   flac  0.5579  RyanAdams2024-08-16t40.flac
     4:13.493      73006124 B   cxx   --   ---xx   flac  0.6104  RyanAdams2024-08-16t41.flac
     1:12.133      20774444 B   cxx   --   ---xx   flac  0.5546  RyanAdams2024-08-16t42.flac
     3:29.880      60445484 B   cxx   --   ---xx   flac  0.5743  RyanAdams2024-08-16t43.flac
     3:38.453      62914604 B   cxx   --   ---xx   flac  0.5642  RyanAdams2024-08-16t44.flac
     3:33.467      61478444 B   cxx   --   ---xx   flac  0.6109  RyanAdams2024-08-16t45.flac
     3:01.693      52327724 B   cxx   --   ---xx   flac  0.5690  RyanAdams2024-08-16t46.flac
     4:53.540      84539612 B   cxx   --   ---xx   flac  0.6039  RyanAdams2024-08-16t47.flac
   173:32.740    2998871236 B                            0.5828  (47 files)
