Sigur Ros
18 June 2023
Elbphilharmonie - Grosser Saal, Hamburg - Germany

Source : 2 x DPA 4018C > MMP-GS > iphone 12 (Apogee Metarecorder (24 bit @ 48 kHz))
Transfer: Wavelab

# DO NOT SELL! DO NOT CONVERT! #

Set I :

01: Blóðberg				[07:31]
02: Ekki múkk				[06:32]
03: All alright				[05:39]
04: 8					[04:43]
05: Von (live)				[04:18]
06: Andvari				[05:14]
07: Starálfur				[05:53]
08: Dauðalogn				[05:16]
09: Varðeldur 				[05:51]

Set II: 

10: Untitled #1 – Vaka			[06:33]	
11: Untitled #3 – Samskeyti		[05:58]
12: Heysátan				[04:39]
13: Ylur				[05:53]
14: Skel			        [04:15]
15: Fljótavík				[03:34]
16: Untitled #5 – Álafoss	        [05:16]
17: Sé lest				[06:55]
18: Hoppípolla				[04:00]
19: Avalon				[03:35]
