Full Impossible Music Festival 2005 index. Broadcast on August 26, 27 and 28, 2005.
Be aware that the dates below are more exact than those given on the JJJ website, which are somewhat inaccurate at times.

Ripped, Tracked & documented by eclect - http://db.etree.org/eclect


SET# BAND/ARTIST		LATW DATE
~~~~ ~~~~~~~~~~~~~~~~~		~~~~~~~~~
01 - White Stripes		2003-10-10 NOT RECORDED
02 - Silverchair		1996-01-04 NOT RECORDED
03 - Muse 			2004-09-10
04 - Violent Femmes 		1990-11-08
05 - Franz Ferdinand 		2004-07-24
06 - The Living End 		1998-11-16
07 - The Smashing Pumpkins 	1998-06-19
08 - Split Enz 			1979-12-21 INCOMPLETE
09 - Mars Volta 		2004-01-23
10 - Grinspoon 			1999-11-15
11 - Green Day 			2000-10-19
12 - The Strokes 		2001-07-24
13 - John Butler Trio 		2001-10-12
14 - Flaming Lips 		2004-01-24
15 - Red Hot Chili Peppers 	2000-01-31
16 - Missy Higgins 		2004-11-01
17 - Beastie Boys 		1995-12-31
18 - INXS 			1982-08-12
19 - Jeff Buckley 		1995-09-06
20 - Cat Empire 		2003-12-13
21 - Queens of the Stone Age 	2001-01-28
22 - Nick Cave & the Bad Seeds	1993-01-24
23 - Coldplay 			2003-07-20
24 - Foo Fighters 		1998-02-10
25 - Hilltop Hoods 		2003-11-03 INCOMPLETE
26 - Rage Against The Machine 	1999-11-05
27 - ACDC 			1977-01-30
28 - The Chemical Brothers 	2000-01-26
29 - Ramones 			1980-07-08
30 - Shihad 			1999-09-27
31 - Michael Franti & Spearhead 2001-07-20
32 - Powderfinger 		1998-10-12
33 - Beck 			1994-08-21
34 - The Cure 			1981-08-09
35 - The Dandy Warhols  	2000-10-30
36 - Interpol 			2003-08-11
37 - The Killers 		2004-12-18
38 - Ben Folds Five 		1998-07-29
39 - Crowded House 		1991-07-28
40 - At The Drive-in 		2001-01-22
41 - PJ Harvey 			2001-01-26
43 - Frenzal Rhomb 		2003-05-12
44 - Fat Boy Slim 		1999-01-23
45 - Ben Harper 		2001-04-11
46 - You Am I 			1998-04-20
47 - Midnight Oil 		1980-05-02
48 - System of a Down 		2002-01-20
49 - Faithless 			2004-10-08
50 - Nirvana 			1992-02-01
51 - Placebo 			2004-03-19
52 - Garbage 			1997-10-05
53 - Faith No More 		1995-08-14
54 - Metallica 			2004-01-23
55 - Tom Waits 			1979-05-02
