
Folder Path:   X:\TSP-MAAE\The Smashing Pumpkins - Machina (Aranea Alba Editio 8LP) 24-192 flac

                                         File Name | Format |   SR | Word Length | Max. TPL |  LUFSi | DR (PMF) | 

                                A1 Le Deux Machina |  .flac | 192k |          24 |    -2.25 | -13.34 |        7 | 
                         A2 Stand Inside Your Love |  .flac | 192k |          24 |    -1.73 | -13.38 |        8 | 
                              A3 I Of The Mourning |  .flac | 192k |          24 |    -1.79 | -12.65 |        8 | 
                                  A4 God's Promise |  .flac | 192k |          24 |    -4.65 | -18.15 |       11 | 
                     A5 The Crying Tree Of Mercury |  .flac | 192k |          24 |    -0.67 | -14.11 |       11 | 
                                      B1 Slow Dawn |  .flac | 192k |          24 |    -1.34 | -12.65 |        9 | 
                         B2 The Sacred and Profane |  .flac | 192k |          24 |    -0.75 | -12.20 |        9 | 
                           B3 The Everlasting Gaze |  .flac | 192k |          24 |    -0.67 | -11.54 |        9 | 
                        B4 Here's To The Atom Bomb |  .flac | 192k |          24 |    -1.10 | -12.50 |       10 | 
                                          B5 Wound |  .flac | 192k |          24 |    -0.94 | -11.16 |        8 | 
                                   C1 Glass' Theme |  .flac | 192k |          24 |    -1.04 | -11.80 |        9 | 
                            C2 Heavy Metal Machine |  .flac | 192k |          24 |    -1.48 | -12.26 |        9 | 
                       C3 Blue Skies Wrought Tears |  .flac | 192k |          24 |    -1.42 | -13.12 |        9 | 
                                    C4 Pale Scales |  .flac | 192k |          24 |    -1.33 | -14.05 |       10 | 
                                         C5 Vanity |  .flac | 192k |          24 |    -0.67 | -13.32 |       10 | 
                                         C6 Autumn |  .flac | 192k |          24 |    -4.61 | -18.23 |       10 | 
                               D1 Machina, Machina |  .flac | 192k |          24 |    -4.77 | -17.09 |        9 | 
                         D2 Raindrops + Sunshowers |  .flac | 192k |          24 |    -0.67 | -13.01 |       10 | 
                   D3 Glass And The Ghost Children |  .flac | 192k |          24 |    -1.23 | -15.93 |       11 | 
                                      E1 Real Love |  .flac | 192k |          24 |    -1.96 | -13.98 |       10 | 
                            E2 The Imploding Voice |  .flac | 192k |          24 |    -1.51 | -13.70 |        9 | 
                                     E3 One Moment |  .flac | 192k |          24 |    -4.51 | -16.65 |       11 | 
                                    E4 Speed Kills |  .flac | 192k |          24 |    -0.67 | -13.90 |       10 | 
                   F1 Here's To The Atom Bomb, Too |  .flac | 192k |          24 |    -2.49 | -14.22 |        9 | 
                                  F2 Try, Try, Try |  .flac | 192k |          24 |    -1.89 | -13.07 |        9 | 
                                   F3 White Spyder |  .flac | 192k |          24 |    -1.51 | -12.68 |        9 | 
                      F4 Don't Wanna Be Your Lover |  .flac | 192k |          24 |    -3.21 | -16.45 |       11 | 
                                  F5 Cash Car Star |  .flac | 192k |          24 |    -0.67 | -10.81 |        8 | 
                                          G1 Dross |  .flac | 192k |          24 |    -1.03 | -11.33 |        9 | 
                                       G2 Lucky 13 |  .flac | 192k |          24 |    -0.67 | -11.92 |        9 | 
                                            G3 HMM |  .flac | 192k |          24 |    -1.07 | -12.62 |       10 | 
                                    G4 Without You |  .flac | 192k |          24 |    -1.46 | -13.50 |        9 | 
                                     G5 Winterlong |  .flac | 192k |          24 |    -3.05 | -15.02 |       10 | 
                                          H1 Laugh |  .flac | 192k |          24 |    -2.91 | -14.38 |        9 | 
                              H2 If There Is A God |  .flac | 192k |          24 |    -4.55 | -18.69 |       11 | 
                                      H3 This Time |  .flac | 192k |          24 |    -2.62 | -13.26 |        9 | 
                         H4 Blue Skies Bring Tears |  .flac | 192k |          24 |    -0.67 | -13.02 |       10 | 
                                     I1 In My Body |  .flac | 192k |          24 |    -0.67 | -14.36 |       10 | 
                                      I2 Innosense |  .flac | 192k |          24 |    -3.79 | -14.84 |        9 | 
                                    I3 Try (Again) |  .flac | 192k |          24 |    -1.51 | -13.51 |        9 | 
                                          I4 Drain |  .flac | 192k |          24 |    -4.68 | -17.86 |        9 | 
                            I5 Yet Another Promise |  .flac | 192k |          24 |    -2.88 | -16.00 |       10 | 
                                           I6 Home |  .flac | 192k |          24 |    -1.46 | -13.58 |        9 | 
                               J1 With Every Light |  .flac | 192k |          24 |    -1.15 | -14.06 |       10 | 
                               J2 Age Of Innocence |  .flac | 192k |          24 |    -1.50 | -14.01 |       10 | 
                   J3 Let Me Give The World To You |  .flac | 192k |          24 |    -0.67 | -12.32 |       10 | 
                                   J4 Soot + Stars |  .flac | 192k |          24 |    -2.94 | -15.42 |       10 | 
                                  J5 Machina Theme |  .flac | 192k |          24 |    -3.26 | -14.62 |        9 | 
                                      K1 Unititled |  .flac | 192k |          24 |    -1.08 | -12.38 |       10 | 
         K2 Blue Skies Bring Tears (Early Version) |  .flac | 192k |          24 |    -1.32 | -11.58 |        9 | 
                                K3 Go (M2 Version) |  .flac | 192k |          24 |    -0.67 | -11.81 |        8 | 
                         K4 Vanity (Sadlands Demo) |  .flac | 192k |          24 |    -2.94 | -16.12 |       12 | 
             K5 Raindrops + Sunshowers (Band Demo) |  .flac | 192k |          24 |    -0.81 | -10.96 |        9 | 
                        L1 Soul Power (M2 Version) |  .flac | 192k |          24 |    -1.38 | -12.72 |        9 | 
                      L2 Here I Am (Sadlands Demo) |  .flac | 192k |          24 |    -1.37 | -13.37 |        9 | 
                                L3 The Crying Tree |  .flac | 192k |          24 |    -3.47 | -16.39 |       10 | 
L4 Glass And The Ghost Children (Pumpkinland Demo) |  .flac | 192k |          24 |    -0.67 | -13.75 |        9 | 
               L5 Age Of Innocence (Acoustic Demo) |  .flac | 192k |          24 |    -2.91 | -16.74 |       12 | 
                                        M1 Rock On |  .flac | 192k |          24 |    -1.23 | -12.76 |        9 | 
                                M2 End Of The Joke |  .flac | 192k |          24 |    -0.90 | -12.71 |        9 | 
         M3 Stand Inside Your Love (Early Version) |  .flac | 192k |          24 |    -0.67 | -12.18 |        9 | 
                               M4 Home (Home Demo) |  .flac | 192k |          24 |    -2.98 | -14.10 |       10 | 
                          M5 Identify (Movie Demo) |  .flac | 192k |          24 |    -1.22 | -12.31 |        9 | 
                                 N1 Rainy Day Song |  .flac | 192k |          24 |    -0.67 | -12.44 |        9 | 
                             N2 Lucky 13 (M2 Demo) |  .flac | 192k |          24 |    -3.23 | -15.03 |       11 | 
                           N3 Saturn9 (M2 Version) |  .flac | 192k |          24 |    -0.91 | -12.05 |        9 | 
         N4 The Imploding Voice (Pumpkinland Demo) |  .flac | 192k |          24 |    -1.47 | -11.30 |        8 | 
                    N5 Without You (Sadlands Demo) |  .flac | 192k |          24 |    -0.67 | -15.34 |       11 | 
                          N6 Wound (Sadlands Demo) |  .flac | 192k |          24 |    -2.36 | -13.90 |       10 | 
                    O1 Speed Kills (Early Version) |  .flac | 192k |          24 |    -0.70 | -13.31 |        9 | 
                      O2 Whyte Spyder (M2 Version) |  .flac | 192k |          24 |    -0.67 | -11.54 |        9 | 
                             O3 Summer (Rehearsal) |  .flac | 192k |          24 |    -2.71 | -16.74 |       11 | 
   O4 Let Me Give The World To You (Sadlands Demo) |  .flac | 192k |          24 |    -1.85 | -14.73 |       10 | 
                  O5 Heavy Metal Machine (M2 Demo) |  .flac | 192k |          24 |    -3.43 | -13.93 |        9 | 
             P1 I Of The Radio (Instrumental Demo) |  .flac | 192k |          24 |    -0.71 | -11.83 |        8 | 
                                P2 Sleeping Giant  |  .flac | 192k |          24 |    -1.50 | -12.47 |        9 | 
         P3 Attached By Satellites (Sadlands Demo) |  .flac | 192k |          24 |    -1.59 | -15.07 |       10 | 
                         P4 Glass' Theme (M2 Demo) |  .flac | 192k |          24 |    -5.55 | -16.83 |       10 | 
                             P5 Promise (NYC Demo) |  .flac | 192k |          24 |    -3.52 | -15.34 |       10 | 
                       P6 Fuck You (Live 12.02.00) |  .flac | 192k |          24 |    -0.67 | -11.44 |        9 | 

Number of EP/Album Files: 80
Official EP/Album DR: 9
