           The Smashing Pumpkins Tape


 1 - Jennifer Ever                            3:42
 2 - East                                     4:08
 3 - Nothing and Everything                   5:52
 4 - Sun (Remix)                              5:26
 5 - She (Live)                               4:16
 6 - Spiteface                                4:36

     Total:                                  28:00


Recording Info:  STU: ANA-M>CDr (Previeu) 

Known Errors in my copy:   Track 2 (East) has a tiny skip at :07
                           Track 6 (Spiteface) has a skip at 3:57
