    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     1:48.800      31334444 B   cxx   --   ---xx   flac  0.6176  sg2013-05-14t01.flac
     3:56.440      68094764 B   cxx   --   ---xx   flac  0.6814  sg2013-05-14t02.flac
     5:52.160     101422124 B   cxx   --   ---xx   flac  0.6738  sg2013-05-14t03.flac
     4:25.440      76446764 B   cxx   --   ---xx   flac  0.6942  sg2013-05-14t04.flac
     4:37.787      80002604 B   cxx   --   ---xx   flac  0.6618  sg2013-05-14t05.flac
     4:41.533      81081644 B   cxx   --   ---xx   flac  0.6709  sg2013-05-14t06.flac
     4:08.840      71665964 B   cxx   --   ---xx   flac  0.6789  sg2013-05-14t07.flac
     3:47.907      65637164 B   cxx   --   ---xx   flac  0.6690  sg2013-05-14t08.flac
     5:19.400      91987244 B   cxx   --   ---xx   flac  0.6608  sg2013-05-14t09.flac
     4:00.667      69312044 B   cxx   --   ---xx   flac  0.6854  sg2013-05-14t10.flac
     3:59.627      69012524 B   cxx   --   ---xx   flac  0.6534  sg2013-05-14t11.flac
     6:17.213     108637484 B   cxx   --   ---xx   flac  0.6738  sg2013-05-14t12.flac
     2:22.480      41034284 B   cxx   --   ---xx   flac  0.6929  sg2013-05-14t13.flac
     2:43.467      47078444 B   cxx   --   ---xx   flac  0.6860  sg2013-05-14t14.flac
     2:57.173      51025964 B   cxx   --   ---xx   flac  0.6840  sg2013-05-14t15.flac
     6:27.827     111694124 B   cxx   --   ---xx   flac  0.6528  sg2013-05-14t16.flac
     5:07.427      88538924 B   cxx   --   ---xx   flac  0.6625  sg2013-05-14t17.flac
     4:02.843      69938732 B   cxx   --   ---xx   flac  0.6346  sg2013-05-14t18.flac
     4:11.573      72453164 B   cxx   --   ---xx   flac  0.6854  sg2013-05-14t19.flac
     4:38.373      80171564 B   cxx   --   ---xx   flac  0.6589  sg2013-05-14t20.flac
     4:34.453      79042604 B   cxx   --   ---xx   flac  0.6859  sg2013-05-14t21.flac
     3:26.853      59573804 B   cxx   --   ---xx   flac  0.5887  sg2013-05-14t22.flac
     5:42.920      98761004 B   cxx   --   ---xx   flac  0.6637  sg2013-05-14t23.flac
     5:08.293      88788524 B   cxx   --   ---xx   flac  0.6745  sg2013-05-14t24.flac
     4:40.307      80728364 B   cxx   --   ---xx   flac  0.6655  sg2013-05-14t25.flac
     5:19.227      91937324 B   cxx   --   ---xx   flac  0.6669  sg2013-05-14t26.flac
     5:16.787      91234604 B   cxx   --   ---xx   flac  0.6847  sg2013-05-14t27.flac
    16:22.933     283084844 B   cxx   --   ---xx   flac  0.6525  sg2013-05-14t28.flac
   135:58.749    2349721040 B                            0.6659  (28 files)
