    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     6:39.453     115042604 B   cxx   --   ---xx   flac  0.6831  sg2013-05-17t01.flac
     5:36.653      96956204 B   cxx   --   ---xx   flac  0.7097  sg2013-05-17t02.flac
     4:04.133      70310444 B   cxx   --   ---xx   flac  0.7033  sg2013-05-17t03.flac
     3:52.387      66927404 B   cxx   --   ---xx   flac  0.7148  sg2013-05-17t04.flac
     3:16.933      56716844 B   cxx   --   ---xx   flac  0.6931  sg2013-05-17t05.flac
     4:34.480      79050284 B   cxx   --   ---xx   flac  0.7154  sg2013-05-17t06.flac
     6:56.853     120053804 B   cxx   --   ---xx   flac  0.7003  sg2013-05-17t07.flac
     4:17.667      74208044 B   cxx   --   ---xx   flac  0.6977  sg2013-05-17t08.flac
     4:02.067      69715244 B   cxx   --   ---xx   flac  0.7241  sg2013-05-17t09.flac
     4:32.947      78608684 B   cxx   --   ---xx   flac  0.6965  sg2013-05-17t10.flac
     4:55.053      84975404 B   cxx   --   ---xx   flac  0.6661  sg2013-05-17t11.flac
     3:26.840      59569964 B   cxx   --   ---xx   flac  0.7203  sg2013-05-17t12.flac
     5:51.947     101360684 B   cxx   --   ---xx   flac  0.6720  sg2013-05-17t13.flac
     2:44.893      47489324 B   cxx   --   ---xx   flac  0.6961  sg2013-05-17t14.flac
     2:44.213      47293484 B   cxx   --   ---xx   flac  0.6779  sg2013-05-17t15.flac
     4:29.960      77748524 B   cxx   --   ---xx   flac  0.6757  sg2013-05-17t16.flac
     6:41.907     115749164 B   cxx   --   ---xx   flac  0.6557  sg2013-05-17t17.flac
     3:53.413      67223084 B   cxx   --   ---xx   flac  0.6764  sg2013-05-17t18.flac
     5:42.600      98668844 B   cxx   --   ---xx   flac  0.6666  sg2013-05-17t19.flac
     7:09.653     123740204 B   cxx   --   ---xx   flac  0.6739  sg2013-05-17t20.flac
     5:15.600      90892844 B   cxx   --   ---xx   flac  0.6829  sg2013-05-17t21.flac
     3:41.333      63744044 B   cxx   --   ---xx   flac  0.5749  sg2013-05-17t22.flac
     4:17.707      74219564 B   cxx   --   ---xx   flac  0.6641  sg2013-05-17t23.flac
     5:54.629     102133292 B   cxx   --   ---xx   flac  0.6777  sg2013-05-17t24.flac
     3:25.027      59047724 B   cxx   --   ---xx   flac  0.6808  sg2013-05-17t25.flac
     8:45.453     151330604 B   cxx   --   ---xx   flac  0.6410  sg2013-05-17t26.flac
   126:53.803    2192776312 B                            0.6803  (26 files)
