    length     expanded size   cdr  WAVE  probs   filename
     3:32.55      37526204     ---   --    ---    lhead1993-06-24t01.wav
     2:52.63      30489020     ---   --    ---    lhead1993-06-24t02.wav
     2:18.04      24352652     ---   --    ---    lhead1993-06-24t03.wav
     3:14.29      34289852     ---   --    ---    lhead1993-06-24t04.wav
     1:56.25      20521244     ---   --    ---    lhead1993-06-24t05.wav
     3:05.30      32704604     ---   --    ---    lhead1993-06-24t06.wav
     3:06.34      32890412     ---   --    ---    lhead1993-06-24t07.wav
     3:46.56      39998156     ---   --    ---    lhead1993-06-24t08.wav
     1:50.00      19404044     ---   --    ---    lhead1993-06-24t09.wav
     2:50.56      30119756     ---   --    ---    lhead1993-06-24t10.wav
     2:51.05      30176204     ---   --    ---    lhead1993-06-24t11.wav
     2:45.16      29143676     ---   --    ---    lhead1993-06-24t12.wav
     1:52.36      19841516     ---   --    ---    lhead1993-06-24t13.wav
     2:00.59      21306812     ---   --    ---    lhead1993-06-24t14.wav
     2:08.66      22734476     ---   --    ---    lhead1993-06-24t15.wav
     4:34.36      48418316     ---   --    ---    lhead1993-06-24t16.wav
     2:15.65      23966924     ---   --    ---    lhead1993-06-24t17.wav
     2:34.12      27193868     ---   --    ---    lhead1993-06-24t18.wav
     2:34.48      27278940     -b-   --    ---    lhead1993-06-24t19.wav
    52:11.20     552356676 B                      (totals for 19 files)
