    length     expanded size   cdr  WAVE  probs   filename
     3:00.74      31926092     ---   --    ---    lheads1996-11-13t01.wav
     2:49.50      29929244     ---   --    ---    lheads1996-11-13t02.wav
     3:11.51      33812396     ---   --    ---    lheads1996-11-13t03.wav
     2:26.42      25853228     ---   --    ---    lheads1996-11-13t04.wav
     3:14.12      34249868     ---   --    ---    lheads1996-11-13t05.wav
     3:26.64      36488972     ---   --    ---    lheads1996-11-13t06.wav
     3:22.41      35729276     ---   --    ---    lheads1996-11-13t07.wav
     2:41.73      28572140     ---   --    ---    lheads1996-11-13t08.wav
     5:15.14      55598972     ---   --    ---    lheads1996-11-13t09.wav
     2:45.64      29256572     ---   --    ---    lheads1996-11-13t10.wav
     2:55.09      30891212     ---   --    ---    lheads1996-11-13t11.wav
     3:58.63      42131420     ---   --    ---    lheads1996-11-13t12.wav
     4:24.28      46635500     ---   --    ---    lheads1996-11-13t13.wav
     2:40.17      28264028     ---   --    ---    lheads1996-11-13t14.wav
     3:08.15      33198524     ---   --    ---    lheads1996-11-13t15.wav
     3:03.39      32372972     ---   --    ---    lheads1996-11-13t16.wav
     2:34.67      27323228     ---   --    ---    lheads1996-11-13t17.wav
     2:41.60      28542188     -b-   --    ---    lheads1996-11-13t18.wav
    57:42.33     610775832 B                      (totals for 18 files)
