shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

"Birthday Bash" bootleg flac

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     4:46.18       50492780 B   ---   --   ---xx   flac  0.7186  01-Track-01.flac
     4:27.63       47247020 B   ---   --   ---xx   flac  0.7207  02-Track-02.flac
     3:31.00       37220444 B   ---   --   ---xx   flac  0.7192  03-Track-03.flac
     2:32.08       26831660 B   ---   --   ---xx   flac  0.7143  04-Track-04.flac
     1:36.38       17023820 B   ---   --   ---xx   flac  0.7157  05-Track-05.flac
     4:32.08       47999660 B   ---   --   ---xx   flac  0.7278  06-Track-06.flac
     1:43.73       18340940 B   ---   --   ---xx   flac  0.7317  07-Track-07.flac
     3:15.61       34541516 B   ---   --   ---xx   flac  0.7063  08-Track-08.flac
     2:20.15       24731324 B   ---   --   ---xx   flac  0.6854  09-Track-09.flac
     3:25.13       36192620 B   ---   --   ---xx   flac  0.6992  10-Track-10.flac
     1:49.11       19253516 B   ---   --   ---xx   flac  0.6930  11-Track-11.flac
     4:02.08       42707660 B   ---   --   ---xx   flac  0.6975  12-Track-12.flac
     1:27.40       15440924 B   ---   --   ---xx   flac  0.6369  13-Track-13.flac
     2:01.06       21358556 B   ---   --   ---xx   flac  0.7033  14-Track-14.flac
     3:47.13       40073420 B   ---   --   ---xx   flac  0.7044  15-Track-15.flac
     1:14.05       13065404 B   ---   --   ---xx   flac  0.6662  16-Track-16.flac
     3:53.43       41202380 B   ---   --   ---xx   flac  0.7034  17-Track-17.flac
    50:25.48      533723644 B                            0.7070  (17 files)


"Birthday Bash" bootleg wav

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     4:46.18       50492780 B   ---   --   -----    wav  1.0000  01-Track-01.wav
     4:27.63       47247020 B   ---   --   -----    wav  1.0000  02-Track-02.wav
     3:31.00       37220444 B   ---   --   -----    wav  1.0000  03-Track-03.wav
     2:32.08       26831660 B   ---   --   -----    wav  1.0000  04-Track-04.wav
     1:36.38       17023820 B   ---   --   -----    wav  1.0000  05-Track-05.wav
     4:32.08       47999660 B   ---   --   -----    wav  1.0000  06-Track-06.wav
     1:43.73       18340940 B   ---   --   -----    wav  1.0000  07-Track-07.wav
     3:15.61       34541516 B   ---   --   -----    wav  1.0000  08-Track-08.wav
     2:20.15       24731324 B   ---   --   -----    wav  1.0000  09-Track-09.wav
     3:25.13       36192620 B   ---   --   -----    wav  1.0000  10-Track-10.wav
