Frequency (Hz)	Level (dB)
86.132813	-9.451936
172.265625	-6.247165
258.398438	-10.746285
344.531250	-15.928316
430.664063	-15.155640
516.796875	-12.363937
602.929688	-10.455292
689.062500	-8.937840
775.195313	-6.619469
861.328125	-11.118424
947.460938	-14.658770
1033.593750	-14.913427
1119.726563	-17.212372
1205.859375	-17.619732
1291.992188	-19.420391
1378.125000	-22.073595
1464.257813	-20.279202
1550.390625	-18.723017
1636.523438	-19.719854
1722.656250	-20.026184
1808.789063	-23.625893
1894.921875	-27.193823
1981.054688	-27.061363
2067.187500	-25.082226
2153.320313	-24.770821
2239.453125	-24.484064
2325.585938	-24.348078
2411.718750	-25.723351
2497.851563	-25.966036
2583.984375	-26.959772
2670.117188	-27.534016
2756.250000	-28.243992
2842.382813	-28.022978
2928.515625	-26.912401
3014.648438	-26.678038
3100.781250	-26.139257
3186.914063	-27.189499
3273.046875	-25.470757
3359.179688	-24.441383
3445.312500	-25.328297
3531.445313	-25.492054
3617.578125	-24.780281
3703.710938	-25.016212
3789.843750	-25.326694
3875.976563	-23.673933
3962.109375	-25.227837
4048.242188	-24.847242
4134.375000	-25.114367
4220.507813	-27.038593
4306.640625	-27.641663
4392.773438	-27.777834
4478.906250	-27.998564
4565.039063	-29.592232
4651.171875	-29.994490
4737.304688	-30.128849
4823.437500	-30.391014
4909.570313	-29.755238
4995.703125	-30.129992
5081.835938	-31.315443
5167.968750	-29.887161
5254.101563	-28.599909
5340.234375	-29.897848
5426.367188	-29.965740
5512.500000	-30.077461
5598.632813	-30.552824
5684.765625	-31.269459
5770.898438	-30.987631
5857.031250	-30.162670
5943.164063	-29.513962
6029.296875	-28.299746
6115.429688	-26.868040
6201.562500	-28.187441
6287.695313	-29.164894
6373.828125	-28.310127
6459.960938	-27.084749
6546.093750	-25.685749
6632.226563	-23.675945
6718.359375	-23.844402
6804.492188	-25.310919
6890.625000	-25.502499
6976.757813	-24.400799
7062.890625	-23.253132
7149.023438	-22.863398
7235.156250	-22.789515
7321.289063	-24.310593
7407.421875	-25.429167
7493.554688	-25.496069
7579.687500	-25.287031
7665.820313	-24.832016
7751.953125	-24.956856
7838.085938	-25.500595
7924.218750	-25.265993
8010.351563	-23.945408
8096.484375	-21.812391
8182.617188	-23.098886
8268.750000	-24.512487
8354.882813	-23.709173
