    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     4:14.68       44965580 B   ---   --   ---xx   flac  0.4575  wilco2012-07-08t01.flac
     4:09.20       43970684 B   ---   --   ---xx   flac  0.5771  wilco2012-07-08t02.flac
     3:27.67       36672428 B   ---   --   ---xx   flac  0.5639  wilco2012-07-08t03.flac
     3:58.13       42013820 B   ---   --   ---xx   flac  0.5448  wilco2012-07-08t04.flac
     6:11.28       65510300 B   ---   --   ---xx   flac  0.5565  wilco2012-07-08t05.flac
     3:12.24       33925292 B   ---   --   ---xx   flac  0.6029  wilco2012-07-08t06.flac
     6:18.73       66850940 B   ---   --   ---xx   flac  0.5457  wilco2012-07-08t07.flac
     5:44.57       60815708 B   ---   --   ---xx   flac  0.4568  wilco2012-07-08t08.flac
     8:03.18       85243580 B   ---   --   ---xx   flac  0.5267  wilco2012-07-08t09.flac
     4:06.11       43420316 B   ---   --   ---xx   flac  0.5743  wilco2012-07-08t10.flac
     5:15.35       55648364 B   ---   --   ---xx   flac  0.5240  wilco2012-07-08t11.flac
     5:04.08       53644460 B   ---   --   ---xx   flac  0.5036  wilco2012-07-08t12.flac
     4:10.73       44271740 B   ---   --   ---xx   flac  0.5356  wilco2012-07-08t13.flac
     2:56.45       31152284 B   ---   --   ---xx   flac  0.5864  wilco2012-07-08t14.flac
     4:45.40       50368124 B   ---   --   ---xx   flac  0.4842  wilco2012-07-08t15.flac
     4:43.07       49937708 B   ---   --   ---xx   flac  0.5367  wilco2012-07-08t16.flac
     4:09.17       43963628 B   ---   --   ---xx   flac  0.5140  wilco2012-07-08t17.flac
     3:59.50       42277244 B   ---   --   ---xx   flac  0.6098  wilco2012-07-08t18.flac
     3:47.19       40087532 B   ---   --   ---xx   flac  0.5665  wilco2012-07-08t19.flac
     4:24.02       46574348 B   ---   --   ---xx   flac  0.5931  wilco2012-07-08t20.flac
     2:04.24       21930092 B   ---   --   ---xx   flac  0.5421  wilco2012-07-08t21.flac
     5:09.60       54648764 B   ---   --   ---xx   flac  0.5114  wilco2012-07-08t22.flac
     7:27.65       79003724 B   ---   --   ---xx   flac  0.5542  wilco2012-07-08t23.flac
     3:07.25       33045644 B   ---   --   ---xx   flac  0.5826  wilco2012-07-08t24.flac
     5:08.32       54406508 B   ---   --   ---xx   flac  0.5969  wilco2012-07-08t25.flac
     1:45.18       18564380 B   ---   --   ---xx   flac  0.5434  wilco2012-07-08t26.flac
     5:14.54       55516652 B   ---   --   ---xx   flac  0.5403  wilco2012-07-08t27.flac
     3:02.16       32142476 B   ---   --   ---xx   flac  0.5540  wilco2012-07-08t28.flac
     6:01.03       63687500 B   ---   --   ---xx   flac  0.5906  wilco2012-07-08t29.flac
   131:43.72     1394259820 B                            0.5447  (29 files)
