    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     5:56.05       62810204 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t01.wav
     7:15.05       76745804 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t02.wav
     6:05.06       64400156 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t03.wav
     4:10.40       44194124 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t04.wav
     5:25.57       57464108 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t05.wav
     5:42.44       60432332 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t06.wav
     7:46.05       82214204 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t07.wav
     4:09.33       44001260 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t08.wav
     5:34.68       59077580 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t09.wav
     4:46.57       50584508 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t10.wav
     0:58.55       10360604 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t11.wav
     3:46.01       39868796 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t12.wav
     5:14.15       55424924 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t13.wav
     3:16.38       34663820 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t14.wav
     3:32.24       37453292 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t15.wav
     4:37.30       48933404 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t16.wav
     3:03.60       32422364 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t17.wav
     1:16.37       13493468 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t18.wav
     3:41.08       39003260 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t19.wav
     7:07.10       75346364 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t20.wav
     4:08.35       43829564 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t21.wav
     4:44.32       50172908 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t22.wav
     3:24.17       36025628 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t23.wav
     3:20.51       35399996 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t24.wav
     7:45.28       82091900 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t25.wav
     3:38.44       38558732 B   ---   --   -----    wav  1.0000  Wilco2013-04-03t26.wav
   120:27.55     1274973304 B                            1.0000  (26 files)
