    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:21.63        3852620 B   ---   --   ---xx   flac  0.3997  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t01.flac
     4:29.11       47477516 B   ---   --   ---xx   flac  0.4312  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t02.flac
     5:15.06       55580156 B   ---   --   ---xx   flac  0.4797  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t03.flac
     7:21.19       77837132 B   ---   --   ---xx   flac  0.4706  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t04.flac
     2:41.10       28423964 B   ---   --   ---xx   flac  0.4578  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t05.flac
     5:22.24       56857292 B   ---   --   ---xx   flac  0.4351  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t06.flac
     3:05.13       32664620 B   ---   --   ---xx   flac  0.4047  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t07.flac
     1:18.59       13898012 B   ---   --   ---xx   flac  0.3706  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t08.flac
     6:30.72       68965388 B   ---   --   ---xx   flac  0.4645  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t09.flac
     4:10.40       44194124 B   ---   --   ---xx   flac  0.4259  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t10.flac
     3:28.64       36841772 B   ---   --   ---xx   flac  0.4285  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t11.flac
     1:08.26       12056396 B   ---   --   ---xx   flac  0.3711  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t12.flac
     4:30.05       47639804 B   ---   --   ---xx   flac  0.4738  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t13.flac
     5:30.39       58303772 B   ---   --   ---xx   flac  0.4276  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t14.flac
     6:25.55       68043404 B   ---   --   ---xx   flac  0.4066  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t15.flac
     3:55.24       41510492 B   ---   --   ---xx   flac  0.3558  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t16.flac
     7:29.21       79253036 B   ---   --   ---xx   flac  0.4494  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t17.flac
     1:15.31       13302956 B   ---   --   ---xx   flac  0.3778  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t18.flac
     3:39.14       38664572 B   ---   --   ---xx   flac  0.4338  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d1t19.flac
     4:30.42       47726828 B   ---   --   ---xx   flac  0.4521  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t01.flac
