    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:29.44        5219132 B   ---   --   ---xx   flac  0.3773  wilco2019-10-23d1t01.flac
     4:45.59       50412812 B   ---   --   ---xx   flac  0.4324  wilco2019-10-23d1t02.flac
     3:25.70       36326684 B   ---   --   ---xx   flac  0.4465  wilco2019-10-23d1t03.flac
     5:26.28       57572300 B   ---   --   ---xx   flac  0.4774  wilco2019-10-23d1t04.flac
     3:20.34       35360012 B   ---   --   ---xx   flac  0.5148  wilco2019-10-23d1t05.flac
     1:14.47       13164188 B   ---   --   ---xx   flac  0.3954  wilco2019-10-23d1t06.flac
     3:22.64       35783372 B   ---   --   ---xx   flac  0.4416  wilco2019-10-23d1t07.flac
     1:00.10       10607564 B   ---   --   ---xx   flac  0.3775  wilco2019-10-23d1t08.flac
     6:31.54       69099452 B   ---   --   ---xx   flac  0.5032  wilco2019-10-23d1t09.flac
     1:02.34       11016812 B   ---   --   ---xx   flac  0.3878  wilco2019-10-23d1t10.flac
     6:06.20       64609484 B   ---   --   ---xx   flac  0.4710  wilco2019-10-23d1t11.flac
     4:06.73       43566140 B   ---   --   ---xx   flac  0.4553  wilco2019-10-23d1t12.flac
     3:19.70       35268284 B   ---   --   ---xx   flac  0.4686  wilco2019-10-23d1t13.flac
     1:08.69       12157532 B   ---   --   ---xx   flac  0.3864  wilco2019-10-23d1t14.flac
     3:47.18       40085180 B   ---   --   ---xx   flac  0.4503  wilco2019-10-23d1t15.flac
     5:23.46       57085436 B   ---   --   ---xx   flac  0.4692  wilco2019-10-23d1t16.flac
     4:37.26       48923996 B   ---   --   ---xx   flac  0.3975  wilco2019-10-23d1t17.flac
     7:44.08       81868460 B   ---   --   ---xx   flac  0.4897  wilco2019-10-23d1t18.flac
     4:44.06       50111756 B   ---   --   ---xx   flac  0.5211  wilco2019-10-23d2t01.flac
     4:04.73       43213340 B   ---   --   ---xx   flac  0.3666  wilco2019-10-23d2t02.flac
     5:10.03       54691100 B   ---   --   ---xx   flac  0.4596  wilco2019-10-23d2t03.flac
     3:35.70       38090684 B   ---   --   ---xx   flac  0.4721  wilco2019-10-23d2t04.flac
     2:11.04       23117852 B   ---   --   ---xx   flac  0.3973  wilco2019-10-23d2t05.flac
     8:26.29       89326652 B   ---   --   ---xx   flac  0.4873  wilco2019-10-23d2t06.flac
     2:08.41       22675676 B   ---   --   ---xx   flac  0.4089  wilco2019-10-23d2t07.flac
     5:13.17       55253228 B   ---   --   ---xx   flac  0.4721  wilco2019-10-23d2t08.flac
     3:05.24       32690492 B   ---   --   ---xx   flac  0.5543  wilco2019-10-23d2t09.flac
     2:22.54       25175852 B   ---   --   ---xx   flac  0.4012  wilco2019-10-23d2t10.flac
     3:18.63       35075420 B   ---   --   ---xx   flac  0.4884  wilco2019-10-23d2t11.flac
     3:33.36       37657916 B   ---   --   ---xx   flac  0.5088  wilco2019-10-23d2t12.flac
     3:42.70       39325484 B   ---   --   ---xx   flac  0.5493  wilco2019-10-23d2t13.flac
     0:53.05        9361004 B   ---   --   ---xx   flac  0.4753  wilco2019-10-23d2t14.flac
     4:47.58       50763260 B   ---   --   ---xx   flac  0.4459  wilco2019-10-23d2t15.flac
     2:42.71       28743836 B   ---   --   ---xx   flac  0.5116  wilco2019-10-23d2t16.flac
     3:02.73       32276540 B   ---   --   ---xx   flac  0.4732  wilco2019-10-23d2t17.flac
     0:43.73        7756940 B   ---   --   ---xx   flac  0.4581  wilco2019-10-23d2t18.flac
     3:15.72       34567388 B   ---   --   ---xx   flac  0.5499  wilco2019-10-23d2t19.flac
     2:39.68       28207580 B   ---   --   ---xx   flac  0.4262  wilco2019-10-23d2t20.flac
     3:34.11       37775516 B   ---   --   ---xx   flac  0.5809  wilco2019-10-23d2t21.flac
     2:38.13       27901820 B   ---   --   ---xx   flac  0.5785  wilco2019-10-23d2t22.flac
     0:43.50        7702844 B   ---   --   ---xx   flac  0.4885  wilco2019-10-23d2t23.flac
   143:34.33     1519589020 B                            0.4727  (41 files)
